Zebra Technologies PE Ratio Historical Data,Zebra Technologies PE Ratio Historical Data,Zebra Technologies PE Ratio Historical Data,Zebra Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,327.0,,64.88
2024-03-31,301.44,$5.04,59.81
2023-12-31,273.33,$6.38,42.84
2023-09-30,236.53,$9.33,25.35
2023-06-30,295.83,$11.48,25.77
2022-12-31,256.41,$12.53,20.46
2022-09-30,262.01,$12.51,20.94
2022-06-30,293.95,$12.15,24.19
2022-03-31,413.7,$13.97,29.61
2021-12-31,595.2,$14.21,41.89
2023-03-31,318.0,$14.88,21.37
2021-09-30,515.42,$15.68,32.87
2021-06-30,529.49,$14.15,37.42
2021-03-31,485.18,$11.93,40.67
2020-12-31,384.33,$9.36,41.06
2020-09-30,252.46,$8.76,28.82
2020-06-30,255.95,$9.09,28.16
2020-03-31,183.6,$9.50,19.33
2019-12-31,255.44,$9.96,25.65
2019-09-30,206.37,$9.20,22.43
2019-06-30,209.49,$8.00,26.19
2018-12-31,159.23,$7.75,20.55
2018-09-30,176.83,$5.71,30.97
2018-06-30,143.25,$5.49,26.09
2018-03-31,139.19,$3.97,35.06
2017-12-31,103.8,$2.28,45.53
2019-03-31,209.53,$2.37,88.41
2017-09-30,108.58,$0.59,184.03
2017-06-30,100.52,$-0.79,0.0
2017-03-31,91.25,$-2.06,0.0
2016-12-31,85.76,$-2.78,0.0
2016-09-30,69.61,$-3.25,0.0
2016-06-30,50.1,$-2.21,0.0
2016-03-31,69.0,$-2.76,0.0
2015-12-31,69.65,$-2.70,0.0
2015-09-30,76.55,$-3.59,0.0
2015-06-30,111.05,$-2.73,0.0
2015-03-31,90.72,$-0.69,0.0
2014-12-31,77.41,$0.63,122.87
2014-09-30,70.97,$2.47,28.73
2014-06-30,82.32,$2.94,28.0
2014-03-31,69.41,$3.00,23.14
2013-12-31,54.08,$2.64,20.48
2013-09-30,45.56,$2.50,18.22
2013-06-30,43.44,$2.26,19.22
2013-03-31,47.13,$2.25,20.95
2012-12-31,39.31,$2.37,16.59
2012-09-30,37.49,$2.36,15.89
2012-06-30,34.36,$2.68,12.82
2012-03-31,41.18,$2.69,15.31
2011-12-31,35.78,$3.21,11.15
2011-09-30,30.94,$3.04,10.18
2011-06-30,42.17,$2.66,15.85
2011-03-31,39.24,$2.45,16.02
2010-12-31,37.99,$1.77,21.46
2010-09-30,33.64,$1.57,21.43
2010-06-30,25.37,$1.30,19.52
2010-03-31,29.6,$1.06,27.92
2009-12-31,28.35,$0.80,35.44
