Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data,Pentair PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,82.75,,22.01
2024-03-31,85.19,$3.76,22.66
2023-12-31,72.26,$3.53,20.47
2023-09-30,64.13,$2.98,21.52
2023-06-30,63.77,$3.11,20.5
2022-12-31,44.02,$2.89,15.23
2022-09-30,39.55,$3.21,12.32
2022-06-30,44.35,$3.30,13.44
2022-03-31,52.32,$3.24,16.15
2021-12-31,70.26,$3.33,21.1
2023-03-31,54.33,$3.21,16.93
2021-09-30,69.69,$3.03,23.0
2021-06-30,64.57,$2.83,22.82
2021-03-31,59.44,$2.47,24.06
2020-12-31,50.46,$2.13,23.69
2020-09-30,43.34,$2.10,20.64
2020-06-30,35.81,$1.99,18.0
2020-03-31,27.88,$2.23,12.5
2019-12-31,42.8,$2.10,20.38
2019-09-30,35.11,$2.05,17.13
2019-06-30,34.38,$2.13,16.14
2019-03-31,40.95,$1.69,24.23
2018-12-31,34.6,$1.96,17.65
2018-09-30,39.52,$2.47,16.0
2018-06-30,38.21,$2.52,15.16
2018-03-31,41.93,$3.72,11.27
2017-12-31,43.26,$3.63,11.92
2017-09-30,41.43,$3.30,12.55
2017-06-30,40.35,$3.39,11.9
2017-03-31,37.86,$2.74,13.82
2016-12-31,33.63,$2.76,12.18
2016-09-30,38.3,$2.68,14.29
2016-06-30,34.57,$2.72,12.71
2015-12-31,28.99,$2.56,11.32
2015-09-30,29.7,$2.75,10.8
2015-06-30,39.79,$1.17,34.01
2015-03-31,36.21,$1.18,30.69
2014-12-31,38.04,$1.15,33.08
2014-09-30,37.34,$1.24,30.11
2014-06-30,40.95,$3.04,13.47
2014-03-31,44.9,$2.97,15.12
2013-12-31,43.81,$2.63,16.66
2013-09-30,36.49,$0.54,67.57
2013-06-30,32.28,$-0.01,0.0
2013-03-31,29.39,$-0.05,0.0
2012-12-31,27.27,$-1.66,0.0
2012-09-30,24.42,$0.16,152.62
2012-06-30,21.01,$0.53,39.65
2011-12-31,18.08,$0.33,54.78
2011-09-30,17.29,$2.16,8.0
2011-06-30,21.68,$2.24,9.68
2011-03-31,20.2,$2.12,9.53
2010-12-31,19.41,$2.22,8.74
2016-03-31,31.99,$2.11,15.16
2010-09-30,17.78,$1.82,9.77
2010-06-30,16.92,$1.65,10.26
2010-03-31,18.63,$1.36,13.69
2009-12-31,16.79,$1.18,14.23
2009-09-30,15.25,$1.49,10.23
