Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data,Equity Residential PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,65.7,,27.26
2024-03-31,63.11,$2.41,26.19
2023-12-31,60.5,$2.20,27.5
2023-09-30,57.46,$1.80,31.92
2023-06-30,63.85,$2.21,28.89
2023-03-31,57.46,$2.43,23.65
2022-12-31,55.84,$2.06,27.11
2022-09-30,62.96,$3.04,20.71
2022-06-30,67.03,$3.33,20.13
2022-03-31,82.73,$3.58,23.11
2021-12-31,82.69,$3.54,23.36
2021-09-30,73.44,$2.82,26.04
2021-06-30,69.37,$1.91,36.32
2021-03-31,64.04,$1.77,36.18
2020-12-31,52.57,$2.45,21.46
2020-09-30,45.06,$2.54,17.74
2020-06-30,51.02,$3.01,16.95
2020-03-31,53.0,$3.14,16.88
2019-12-31,68.74,$2.59,26.54
2019-09-30,72.77,$2.13,34.16
2019-06-30,63.63,$2.00,31.81
2019-03-31,62.66,$1.48,42.33
2018-12-31,54.5,$1.77,30.79
2018-09-30,54.7,$1.80,30.39
2018-06-30,52.16,$1.59,32.81
2018-03-31,50.04,$1.81,27.65
2017-12-31,51.31,$1.63,31.48
2017-09-30,52.63,$2.04,25.8
2017-06-30,52.16,$2.23,23.39
2017-03-31,48.93,$2.29,21.37
2016-12-31,50.21,$11.66,4.31
2016-09-30,49.79,$11.46,4.34
2016-06-30,50.56,$11.43,4.42
2016-03-31,54.65,$11.62,4.7
2015-12-31,52.86,$2.35,22.49
2015-09-30,48.34,$2.39,20.23
2015-06-30,44.81,$2.47,18.14
2015-03-31,49.34,$2.00,24.67
2014-12-31,45.21,$1.73,26.13
2014-09-30,38.49,$1.44,26.73
2014-06-30,39.06,$1.88,20.78
2014-03-31,35.67,$2.47,14.44
2013-12-31,31.63,$5.26,6.01
2013-09-30,32.26,$6.13,5.26
2013-06-30,34.72,$5.80,5.99
2013-03-31,32.68,$5.23,6.25
2012-12-31,33.39,$2.69,12.41
2012-09-30,33.43,$1.85,18.07
2012-06-30,36.03,$1.48,24.35
2012-03-31,35.98,$3.00,11.99
2011-12-31,32.59,$2.95,11.05
2011-09-30,29.34,$3.27,8.97
2011-06-30,33.74,$3.01,11.21
2011-03-31,31.54,$1.18,26.73
2010-12-31,28.87,$0.95,30.39
2010-09-30,26.19,$0.45,58.2
2010-06-30,22.77,$0.84,27.11
2010-03-31,21.25,$1.17,18.16
2009-12-31,18.18,$1.25,14.54
