BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data,BlackRock PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,781.9,,19.87
2024-03-31,833.7,$39.35,21.19
2023-12-31,806.84,$37.16,21.71
2023-09-30,638.25,$37.26,17.13
2023-06-30,677.43,$33.66,20.13
2022-12-31,684.52,$33.95,20.16
2022-09-30,527.93,$36.29,14.55
2022-06-30,580.02,$34.68,16.73
2022-03-31,722.51,$38.51,18.76
2021-12-31,859.63,$38.08,22.57
2023-03-31,651.05,$35.22,18.49
2021-09-30,783.82,$37.60,20.85
2021-06-30,814.16,$35.58,22.88
2021-03-31,698.29,$31.81,21.95
2020-12-31,664.25,$32.33,20.55
2020-09-30,516.18,$29.46,17.52
2020-03-31,397.84,$27.00,14.73
2019-12-31,451.25,$28.46,15.86
2019-09-30,397.36,$25.95,15.31
2019-06-30,415.16,$26.65,15.58
2019-03-31,375.24,$27.78,13.51
2018-12-31,344.9,$27.79,12.41
2020-06-30,495.26,$28.69,17.26
2018-09-30,410.55,$34.91,11.76
2018-06-30,431.82,$33.15,13.03
2018-03-31,466.32,$31.76,14.68
2017-12-31,439.9,$30.21,14.56
2017-09-30,380.95,$21.40,17.8
2017-03-31,322.89,$20.35,15.87
2016-12-31,318.36,$19.04,16.72
2016-09-30,301.46,$19.02,15.85
2016-06-30,283.15,$18.98,14.92
2016-03-31,279.75,$19.25,14.53
2015-12-31,277.74,$20.17,13.77
2017-06-30,357.79,$19.90,17.98
2015-09-30,241.18,$19.45,12.4
2015-06-30,278.5,$19.82,14.05
2015-03-31,292.69,$19.70,14.86
2014-12-31,284.39,$19.26,14.77
2014-09-30,259.72,$19.35,13.42
2014-06-30,251.34,$18.19,13.82
2014-03-31,245.79,$17.66,13.92
2013-12-31,245.8,$16.88,14.56
2013-09-30,209.03,$15.95,13.11
2013-06-30,197.12,$15.39,12.81
2013-03-31,194.69,$14.28,13.63
2012-12-31,155.6,$13.80,11.28
2012-09-30,133.19,$12.92,10.31
2012-06-30,125.79,$12.50,10.06
2012-03-31,150.41,$12.63,11.91
2011-12-31,129.85,$12.38,10.49
2011-09-30,106.94,$12.68,8.43
2011-06-30,137.45,$12.28,11.19
2011-03-31,143.02,$11.28,12.68
2010-12-31,134.71,$10.56,12.76
2010-09-30,119.62,$8.83,13.55
2010-06-30,100.05,$8.27,12.1
2010-03-31,151.01,$7.65,19.74
2009-12-31,160.28,$6.10,26.28
