Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data,Chevron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,157.75,,14.51
2024-03-31,156.16,$10.87,14.37
2023-12-31,146.12,$11.36,12.86
2023-09-30,163.45,$13.47,12.13
2023-06-30,151.09,$15.77,9.58
2023-03-31,155.15,$18.52,8.38
2022-12-31,169.17,$18.28,9.25
2022-09-30,134.37,$17.58,7.64
2022-06-30,134.21,$14.99,8.95
2022-03-31,149.68,$10.64,14.07
2021-12-31,106.74,$8.14,13.11
2021-09-30,91.22,$5.18,17.61
2021-06-30,92.89,$1.87,49.68
2021-03-31,91.78,$-4.17,0.0
2020-12-31,72.95,$-2.96,0.0
2020-09-30,61.29,$-6.14,0.0
2020-06-30,74.86,$-4.66,0.0
2020-03-31,59.95,$2.05,29.24
2019-12-31,98.55,$1.51,65.27
2019-09-30,96.04,$6.97,13.78
2019-06-30,99.75,$7.72,12.92
2019-03-31,97.77,$7.23,13.52
2018-12-31,85.49,$7.74,11.05
2018-09-30,95.18,$7.43,12.81
2018-06-30,97.48,$6.35,15.35
2018-03-31,87.18,$5.34,16.32
2017-12-31,94.76,$4.85,19.54
2017-09-30,88.1,$3.43,25.69
2017-06-30,77.45,$3.08,25.14
2017-03-31,78.89,$1.53,51.56
2016-12-31,85.66,$-0.27,0.0
2016-09-30,74.16,$-0.80,0.0
2016-06-30,74.76,$-0.39,0.0
2016-03-31,67.32,$0.69,97.56
2015-12-31,62.69,$2.45,25.59
2015-09-30,54.33,$4.61,11.79
2015-06-30,65.6,$6.47,10.14
2015-03-31,70.69,$9.15,7.73
2014-12-31,74.81,$10.14,7.38
2014-09-30,78.85,$10.86,7.26
2014-06-30,85.55,$10.48,8.16
2014-03-31,77.25,$10.27,7.52
2013-12-31,80.43,$11.09,7.25
2013-09-30,77.59,$12.22,6.35
2013-06-30,74.95,$12.34,6.07
2013-03-31,74.64,$13.23,5.64
2012-12-31,67.41,$13.32,5.06
2012-09-30,72.02,$12.20,5.9
2012-06-30,64.67,$13.43,4.82
2012-03-31,65.14,$13.62,4.78
2011-12-31,64.15,$13.44,4.77
2011-09-30,55.38,$13.50,4.1
2011-06-30,61.02,$11.45,5.33
2011-03-31,63.29,$10.30,6.14
2010-12-31,53.33,$9.48,5.63
2010-09-30,46.96,$8.37,5.61
2010-06-30,38.96,$8.42,4.63
2010-03-31,43.13,$6.59,6.55
2009-12-31,43.38,$5.24,8.28
