CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data,CVS Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,55.54,,9.76
2024-03-31,79.01,$5.69,13.89
2023-12-31,77.51,$6.46,12.0
2023-09-30,67.96,$6.63,10.25
2023-06-30,66.75,$2.28,29.27
2023-03-31,71.16,$3.03,23.48
2022-12-31,88.62,$3.12,28.41
2022-09-30,90.15,$2.35,38.36
2022-06-30,87.08,$6.15,14.16
2022-03-31,94.62,$6.02,15.72
2021-12-31,95.93,$5.96,16.09
2021-09-30,78.46,$5.72,13.72
2021-06-30,76.68,$5.85,13.11
2021-03-31,68.68,$4.92,13.96
2020-12-31,61.94,$4.73,13.1
2019-12-31,65.3,$5.08,12.85
2019-09-30,55.02,$3.38,16.28
2019-06-30,47.11,$3.57,13.2
2019-03-31,46.19,$-0.44,0.0
2018-12-31,55.69,$-0.55,0.0
2018-09-30,66.45,$3.04,21.86
2018-06-30,53.91,$2.94,18.34
2018-03-31,51.72,$6.53,7.92
2017-12-31,59.9,$6.48,9.24
2017-09-30,66.75,$4.18,15.97
2017-06-30,65.62,$4.51,14.55
2020-09-30,52.52,$4.87,10.78
2017-03-31,63.61,$4.80,13.25
2016-12-31,63.55,$4.92,12.92
2016-09-30,71.32,$4.67,15.27
2016-06-30,76.4,$4.35,17.56
2016-03-31,82.43,$4.61,17.88
2015-12-31,77.35,$4.64,16.67
2015-09-30,76.07,$4.44,17.13
2015-06-30,82.43,$4.14,19.91
2015-03-31,80.84,$4.08,19.81
2014-12-31,75.17,$3.96,18.98
2014-09-30,61.91,$3.87,16.0
2014-06-30,58.42,$4.08,14.32
2014-03-31,57.81,$5.28,10.95
2013-12-31,55.04,$5.24,10.5
2013-09-30,43.48,$4.96,8.77
2020-06-30,57.97,$4.84,11.98
2013-06-30,43.65,$3.37,12.95
2013-03-31,41.82,$3.21,13.03
2012-12-31,36.61,$3.03,12.08
2012-09-30,36.54,$2.94,12.43
2012-06-30,35.14,$2.80,12.55
2012-03-31,33.56,$2.65,12.66
2011-12-31,30.43,$2.58,11.8
2011-09-30,24.98,$2.52,9.91
2011-06-30,27.85,$2.46,11.32
2011-03-31,25.34,$2.46,10.3
2010-12-31,25.58,$2.49,10.27
2010-09-30,23.09,$2.48,9.31
2010-06-30,21.45,$2.60,8.25
2010-03-31,26.69,$2.60,10.26
2009-12-31,23.45,$2.55,9.2
2009-09-30,25.97,$3.34,7.77
