T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data,T Rowe Price PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,118.2,,14.04
2024-03-31,121.92,$8.42,14.48
2023-12-31,106.54,$7.76,13.73
2023-09-30,102.58,$7.02,14.61
2023-06-30,108.38,$6.71,16.15
2023-03-31,108.04,$6.11,17.68
2022-12-31,103.19,$6.69,15.42
2022-09-30,98.3,$8.71,11.29
2022-06-30,105.25,$10.36,10.16
2022-03-31,138.52,$12.36,11.21
2021-12-31,178.59,$13.12,13.61
2021-09-30,177.66,$13.27,13.39
2021-06-30,177.9,$12.69,14.02
2021-03-31,151.02,$11.78,12.82
2020-12-31,132.41,$10.02,13.21
2020-09-30,111.47,$8.93,12.48
2020-06-30,106.61,$8.43,12.65
2020-03-31,83.67,$8.03,10.42
2019-12-31,103.53,$8.71,11.89
2019-09-30,96.49,$7.88,12.24
2019-06-30,92.06,$7.95,11.58
2019-03-31,83.42,$7.57,11.02
2018-12-31,76.34,$7.25,10.53
2018-09-30,89.61,$7.21,12.43
2018-06-30,94.68,$6.47,14.63
2018-03-31,87.56,$6.20,14.12
2017-12-31,84.58,$5.97,14.17
2017-09-30,72.66,$6.10,11.91
2017-06-30,59.09,$5.82,10.15
2017-03-31,53.84,$5.08,10.6
2016-12-31,58.99,$4.69,12.58
2016-09-30,51.76,$4.36,11.87
2016-06-30,56.34,$4.14,13.61
2016-03-31,56.29,$4.62,12.18
2015-12-31,54.37,$4.60,11.82
2015-09-30,52.43,$4.61,11.37
2015-06-30,58.26,$4.67,12.48
2015-03-31,58.81,$4.56,12.9
2014-12-31,61.96,$4.55,13.62
2014-09-30,56.28,$4.43,12.7
2014-06-30,60.26,$4.31,13.98
2014-03-31,58.48,$4.10,14.26
2013-12-31,59.17,$3.89,15.21
2013-09-30,50.56,$3.71,13.63
2013-06-30,51.18,$3.65,14.02
2013-03-31,52.08,$3.52,14.8
2012-12-31,45.07,$3.36,13.41
2012-09-30,42.91,$3.21,13.37
2012-06-30,42.45,$2.98,14.25
2012-03-31,43.78,$2.95,14.84
2011-12-31,37.98,$2.92,13.01
2011-09-30,31.68,$2.91,10.89
2011-06-30,39.77,$2.85,13.95
2011-03-31,43.54,$2.68,16.25
2010-12-31,42.11,$2.53,16.64
2010-09-30,32.52,$2.38,13.67
2010-06-30,28.68,$2.23,12.86
2010-03-31,35.32,$2.02,17.48
2009-12-31,34.04,$1.64,20.76
