Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data,Brown & Brown PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,89.36,,27.5
2024-03-31,87.4,$3.25,26.89
2023-12-31,70.88,$3.06,23.16
2023-09-30,69.49,$2.63,26.42
2023-06-30,68.38,$2.58,26.5
2023-03-31,56.93,$2.42,23.53
2022-12-31,56.38,$2.36,23.89
2022-09-30,59.73,$2.21,27.03
2022-06-30,57.53,$2.16,26.63
2022-03-31,71.14,$2.14,33.24
2021-12-31,69.08,$2.07,33.37
2021-09-30,54.41,$2.05,26.54
2021-06-30,52.06,$2.00,26.03
2021-03-31,44.7,$1.85,24.16
2020-12-31,46.27,$1.69,27.38
2020-09-30,44.09,$1.62,27.21
2020-06-30,39.62,$1.56,25.4
2020-03-31,35.13,$1.55,22.66
2019-12-31,38.22,$1.41,27.11
2019-09-30,34.83,$1.40,24.88
2019-06-30,32.29,$1.37,23.57
2019-03-31,28.37,$1.30,21.82
2018-12-31,26.42,$1.22,21.66
2018-09-30,28.27,$1.62,17.45
2018-06-30,26.44,$1.51,17.57
2018-03-31,24.19,$1.48,16.4
2017-12-31,24.4,$1.40,17.43
2017-09-30,22.78,$0.95,24.1
2017-06-30,20.29,$0.93,21.82
2017-03-31,19.6,$0.94,20.96
2016-12-31,21.0,$0.91,23.08
2016-09-30,17.59,$0.91,19.33
2016-06-30,17.42,$0.90,19.47
2016-03-31,16.59,$0.88,18.96
2015-12-31,14.81,$0.85,17.43
2015-09-30,14.24,$0.73,19.5
2015-06-30,15.06,$0.73,20.63
2015-03-31,15.12,$0.73,20.86
2014-12-31,14.98,$0.72,20.95
2014-09-30,14.58,$0.79,18.46
2014-06-30,13.88,$0.75,18.51
2014-03-31,13.86,$0.72,19.25
2013-12-31,14.1,$0.74,19.05
2013-09-30,14.37,$0.73,19.82
2013-06-30,14.39,$0.70,20.56
2013-03-31,14.26,$0.67,21.45
2012-12-31,11.3,$0.63,17.93
2012-09-30,11.53,$0.61,18.9
2012-06-30,12.02,$0.60,20.03
2012-03-31,10.45,$0.59,17.86
2011-12-31,9.9,$0.58,17.23
2011-09-30,7.76,$0.56,13.86
2011-06-30,11.14,$0.56,20.07
2011-03-31,11.17,$0.57,19.59
2010-12-31,10.33,$0.57,18.28
2010-09-30,8.68,$0.54,16.07
2010-06-30,8.2,$0.53,15.46
2010-03-31,7.64,$0.53,14.42
2009-12-31,7.63,$0.55,14.0
