Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data,Hubbell Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,413.0,,29.4
2023-12-31,327.85,$14.05,23.33
2023-09-30,311.09,$13.16,23.64
2023-06-30,327.99,$12.03,27.26
2023-03-31,239.76,$10.47,22.9
2022-12-31,230.23,$10.41,22.12
2022-09-30,217.79,$10.28,21.19
2022-06-30,173.53,$9.69,17.91
2022-03-31,177.6,$9.17,19.37
2021-12-31,200.12,$7.28,27.49
2021-09-30,172.7,$7.87,21.94
2021-06-30,177.76,$7.37,24.12
2021-03-31,176.9,$7.59,23.31
2024-03-31,415.05,$7.79,53.28
2020-12-31,147.59,$6.43,22.95
2020-09-30,128.04,$6.80,18.83
2020-06-30,116.57,$7.22,16.15
2020-03-31,105.92,$7.35,14.41
2019-12-31,135.53,$7.30,18.57
2019-09-30,119.74,$7.05,16.98
2019-06-30,118.06,$6.73,17.54
2019-03-31,106.05,$6.80,15.6
2018-12-31,88.67,$6.53,13.58
2018-09-30,119.22,$5.30,22.5
2018-06-30,93.81,$4.71,19.92
2018-03-31,107.29,$4.32,24.84
2017-12-31,118.55,$4.40,26.94
2017-09-30,101.01,$5.19,19.46
2017-06-30,97.91,$5.28,18.54
2017-03-31,103.24,$5.30,19.48
2016-12-31,99.78,$5.25,19.01
2016-09-30,91.55,$5.15,17.78
