CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data,CME Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,214.92,,24.45
2024-03-31,215.29,$8.79,24.49
2023-12-31,209.47,$8.87,23.62
2023-09-30,193.29,$8.38,23.07
2023-06-30,177.93,$8.19,21.72
2023-03-31,182.82,$7.87,23.23
2022-12-31,159.54,$7.39,21.59
2022-09-30,162.74,$7.35,22.14
2022-06-30,187.14,$8.06,23.22
2022-03-31,216.36,$7.66,28.25
2021-12-31,206.91,$7.31,28.31
2021-09-30,172.01,$6.78,25.37
2021-06-30,188.3,$5.35,35.2
2021-03-31,180.07,$5.33,33.78
2020-12-31,159.83,$5.87,27.23
2020-09-30,144.18,$6.00,24.03
2020-06-30,139.37,$6.63,21.02
2020-03-31,147.6,$6.66,22.16
2019-12-31,170.64,$5.91,28.87
2019-09-30,176.81,$5.69,31.07
2019-06-30,161.84,$5.12,31.61
2019-03-31,136.71,$5.35,25.55
2018-12-31,155.58,$5.72,27.2
2018-09-30,138.93,$13.26,10.48
2018-06-30,133.26,$12.96,10.28
2018-03-31,130.95,$12.52,10.46
2017-12-31,117.76,$11.94,9.86
2017-09-30,106.37,$4.41,24.12
2017-06-30,97.68,$4.89,19.97
2017-03-31,92.14,$4.62,19.94
2016-12-31,88.99,$4.53,19.65
2016-09-30,78.07,$4.29,18.2
2016-06-30,72.34,$3.96,18.27
2016-03-31,70.9,$3.79,18.71
2015-12-31,66.45,$3.68,18.06
2015-09-30,65.58,$3.73,17.58
2015-06-30,65.46,$3.53,18.54
2015-03-31,66.27,$3.54,18.72
2014-12-31,61.71,$3.35,18.42
2014-09-30,54.17,$3.02,17.94
2014-06-30,47.77,$2.87,16.64
2014-03-31,49.5,$3.01,16.45
2013-12-31,52.15,$2.93,17.8
2013-09-30,47.3,$2.85,16.6
2013-06-30,48.32,$2.80,17.26
2013-03-31,38.82,$2.61,14.87
2012-12-31,31.8,$5.92,5.37
2012-09-30,34.78,$7.67,4.53
2012-06-30,32.3,$7.96,4.06
2012-03-31,34.57,$8.09,4.27
2011-12-31,28.57,$4.66,6.13
2011-09-30,28.72,$3.14,9.14
2011-06-30,33.81,$3.02,11.21
2010-12-31,36.95,$2.86,12.9
2010-09-30,29.8,$2.89,10.33
2010-06-30,32.07,$3.52,9.12
2010-03-31,35.87,$3.30,10.86
2009-12-31,37.98,$3.24,11.71
2011-03-31,34.79,$3.24,10.75
