Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data,Costco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,809.73,,52.96
2024-02-29,742.7,$15.29,48.57
2023-11-30,577.93,$14.67,39.4
2023-08-31,534.58,$14.16,37.75
2023-05-31,496.91,$13.50,36.81
2023-02-28,469.34,$13.61,34.49
2022-11-30,521.83,$13.23,39.44
2022-08-31,504.32,$13.14,38.38
2022-05-31,449.59,$12.70,35.4
2022-02-28,499.92,$12.41,40.28
2021-11-30,518.52,$11.63,44.58
2021-08-31,437.17,$11.78,37.11
2021-05-31,362.38,$9.91,36.57
2021-02-28,316.43,$9.26,34.17
2020-08-31,322.74,$9.02,35.78
2020-05-31,285.74,$8.36,34.18
2020-02-29,259.83,$9.09,28.58
2019-11-30,276.5,$9.04,30.59
2019-08-31,271.25,$9.15,29.64
2020-11-30,364.39,$8.41,43.33
2019-05-31,219.99,$8.15,26.99
2019-02-28,200.32,$7.80,25.68
2018-11-30,211.23,$7.38,28.62
2018-08-31,212.41,$7.10,29.92
2018-05-31,180.18,$6.82,26.42
2018-02-28,173.0,$6.71,25.78
2017-11-30,166.7,$6.29,26.5
2017-08-31,141.26,$6.08,23.23
2017-05-31,162.1,$5.77,28.09
2017-02-28,152.54,$5.42,28.14
2016-11-30,128.89,$5.49,23.48
2016-08-31,138.75,$5.34,25.98
2016-05-31,127.0,$5.30,23.96
2016-02-29,127.7,$5.23,24.42
2015-11-30,137.03,$5.34,25.66
2015-08-31,118.58,$5.37,22.08
2015-05-31,120.4,$5.22,23.07
2015-02-28,123.75,$5.12,24.17
2014-11-30,115.51,$4.82,23.97
2014-08-31,98.16,$5.10,19.25
2014-05-31,93.77,$4.56,20.56
2014-02-28,94.11,$4.73,19.9
2013-08-31,89.67,$4.63,19.37
2013-05-31,87.65,$4.62,18.97
2013-02-28,80.76,$4.46,18.11
2012-11-30,77.15,$4.12,18.73
2012-08-31,72.45,$3.90,18.58
2012-05-31,63.77,$3.59,17.76
2012-02-29,63.31,$3.44,18.41
2011-11-30,62.58,$3.33,18.79
2011-08-31,57.45,$3.56,16.14
2011-05-31,60.15,$3.19,18.86
2011-02-28,54.38,$3.43,15.85
2013-11-30,100.8,$3.32,30.36
2010-11-30,49.03,$3.03,16.18
2010-08-31,40.84,$2.92,13.99
2010-05-31,41.95,$2.80,14.98
2010-02-28,43.76,$2.60,16.83
2009-11-30,42.87,$2.48,17.29
