Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data,Las Vegas Sands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,44.88,,21.68
2024-03-31,51.48,$2.07,24.87
2023-12-31,48.81,$1.60,30.51
2023-09-30,45.28,$0.88,51.46
2023-06-30,57.1,$0.07,815.71
2023-03-31,56.56,$-0.72,0.0
2022-12-31,47.32,$2.40,19.72
2022-09-30,36.94,$2.45,15.08
2022-06-30,33.07,$2.28,14.5
2022-03-31,38.27,$2.41,15.88
2021-12-31,37.06,$-1.26,0.0
2021-09-30,36.03,$-1.48,0.0
2021-06-30,51.87,$-1.74,0.0
2021-03-31,59.82,$-2.56,0.0
2020-12-31,58.68,$-2.20,0.0
2020-09-30,45.94,$-0.99,0.0
2020-06-30,44.83,$0.44,101.89
2020-03-31,41.81,$2.75,15.2
2019-12-31,66.68,$3.50,19.05
2019-09-30,55.16,$2.46,22.42
2019-06-30,55.71,$2.50,22.28
2019-03-31,56.73,$1.96,28.95
2018-12-31,47.82,$3.05,15.68
2018-09-30,53.74,$4.80,11.2
2018-06-30,68.32,$4.79,14.26
2018-03-31,63.73,$4.78,13.33
2017-12-31,60.97,$3.54,17.22
2017-09-30,55.72,$2.65,21.03
2017-06-30,54.85,$2.58,21.26
2017-03-31,48.45,$2.30,21.07
2016-12-31,44.76,$2.10,21.31
2016-09-30,47.59,$2.05,23.22
2016-06-30,35.52,$2.05,17.33
2016-03-31,41.53,$2.23,18.62
2015-12-31,34.76,$2.47,14.07
2015-09-30,29.65,$2.78,10.66
2015-06-30,40.46,$2.96,13.67
2015-03-31,41.86,$3.20,13.08
2014-12-31,43.73,$3.51,12.46
2014-09-30,46.34,$3.31,14.0
2014-06-30,56.33,$3.24,17.39
2014-03-31,59.31,$3.05,19.44
2013-12-31,57.55,$2.79,20.63
2013-09-30,48.25,$2.62,18.42
2013-06-30,38.24,$2.28,16.77
2013-03-31,40.47,$1.93,20.97
2012-12-31,32.93,$1.85,17.8
2012-09-30,30.96,$1.71,18.11
2012-06-30,28.88,$1.73,16.69
2012-03-31,38.02,$1.89,20.12
2011-12-31,28.1,$1.56,18.01
2011-09-30,25.21,$1.51,16.7
2011-06-30,27.75,$1.28,21.68
2011-03-31,27.76,$0.82,33.86
2010-12-31,30.21,$0.50,60.43
2010-09-30,22.92,$-0.01,0.0
2010-06-30,14.56,$-0.38,0.0
2010-03-31,13.91,$-0.71,0.0
2009-12-31,9.82,$-0.81,0.0
