Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data,Meta Platforms PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,478.22,,27.47
2024-03-31,485.58,$17.41,27.89
2023-12-31,353.58,$14.90,23.73
2023-09-30,299.89,$11.33,26.47
2023-06-30,286.67,$8.58,33.41
2023-03-31,211.71,$8.06,26.27
2022-12-31,120.21,$8.58,14.01
2022-09-30,135.54,$10.49,12.92
2022-06-30,161.08,$12.07,13.35
2022-03-31,222.12,$13.22,16.8
2021-12-31,335.99,$13.80,24.35
2021-09-30,339.03,$14.01,24.2
2021-06-30,347.34,$13.50,25.73
2021-03-31,294.22,$11.69,25.17
2020-12-31,272.87,$10.10,27.02
2020-09-30,261.62,$8.78,29.8
2020-06-30,226.83,$8.19,27.7
2020-03-31,166.62,$7.30,22.82
2019-12-31,205.03,$6.44,31.84
2019-09-30,177.89,$6.26,28.42
2019-06-30,192.79,$5.90,32.68
2019-03-31,166.51,$6.73,24.74
2018-12-31,130.95,$7.57,17.3
2018-09-30,164.28,$6.63,24.78
2018-06-30,194.11,$6.46,30.05
2018-03-31,159.62,$6.04,26.43
2017-12-31,176.27,$5.39,32.7
2017-09-30,170.69,$5.16,33.08
2017-06-30,150.82,$4.39,34.36
2017-03-31,141.9,$3.78,37.54
2016-12-31,114.93,$3.26,35.25
2016-09-30,128.13,$2.59,49.47
2016-06-30,114.16,$2.08,54.88
2016-03-31,113.98,$1.62,70.36
2015-12-31,104.55,$1.28,81.68
2015-09-30,89.63,$0.99,90.54
2015-06-30,85.67,$0.98,87.42
2015-03-31,82.13,$1.03,79.74
2014-12-31,77.94,$1.10,70.85
2014-09-30,78.96,$1.05,75.2
2014-06-30,67.22,$0.92,73.06
2014-03-31,60.18,$0.75,80.23
2013-12-31,54.59,$0.59,92.53
2013-09-30,50.18,$0.42,119.47
2013-06-30,24.85,$0.23,108.06
2013-03-31,25.55,$0.02,1277.64
