PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data,PulteGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,114.3,,9.15
2024-03-31,120.62,$12.49,9.66
2023-12-31,103.03,$13.24,7.78
2023-09-30,73.77,$12.65,5.83
2023-06-30,77.22,$12.48,6.19
2022-12-31,45.03,$11.10,4.06
2022-09-30,36.96,$9.86,3.75
2022-06-30,38.91,$9.52,4.09
2022-03-31,41.0,$8.61,4.76
2021-12-31,55.75,$8.68,6.42
2023-03-31,57.81,$7.20,8.03
2021-09-30,44.66,$6.47,6.9
2021-06-30,52.92,$6.19,8.55
2021-03-31,50.72,$5.58,9.09
2020-12-31,41.59,$5.19,8.01
2020-09-30,44.5,$4.79,9.29
2020-06-30,32.63,$4.24,7.69
2020-03-31,21.32,$3.81,5.6
2019-12-31,36.92,$3.66,10.09
2019-09-30,34.67,$3.28,10.57
2019-06-30,29.9,$3.30,9.06
2019-03-31,26.35,$3.56,7.4
2018-12-31,24.4,$3.56,6.85
2018-09-30,23.15,$2.98,7.77
2018-06-30,26.78,$2.55,10.5
2018-03-31,27.39,$1.75,15.65
2017-12-31,30.79,$1.44,21.38
2017-09-30,25.24,$2.01,12.56
2017-06-30,22.58,$1.80,12.54
2017-03-31,21.59,$1.82,11.86
2016-12-31,16.79,$1.78,9.43
2016-09-30,18.22,$1.59,11.46
2016-06-30,17.63,$1.52,11.6
2016-03-31,16.85,$1.46,11.54
2015-12-31,15.97,$1.37,11.66
2015-09-30,16.82,$1.31,12.84
2015-06-30,17.9,$1.38,12.97
2015-03-31,19.66,$1.21,16.25
2014-12-31,18.91,$1.25,15.12
2014-09-30,15.5,$1.24,12.5
2014-06-30,17.65,$6.74,2.62
2014-03-31,16.75,$6.72,2.49
2013-12-31,17.74,$6.74,2.63
2013-09-30,14.33,$6.32,2.27
2013-06-30,16.38,$0.75,21.84
2013-03-31,17.47,$0.77,22.69
2012-12-31,15.68,$0.53,29.58
2012-09-30,13.38,$0.42,31.86
2012-06-30,9.24,$-0.22,0.0
2012-03-31,7.64,$-0.43,0.0
2011-12-31,5.45,$-0.84,0.0
2011-09-30,3.41,$-3.51,0.0
2011-03-31,6.39,$-2.97,0.0
2010-12-31,6.49,$-2.90,0.0
2010-09-30,7.56,$-2.77,0.0
2010-06-30,7.15,$-1.30,0.0
2010-03-31,9.71,$-2.24,0.0
2009-12-31,8.63,$-4.23,0.0
2009-09-30,9.49,$-4.07,0.0
