Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data,Universal Health Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,176.37,,14.95
2024-03-31,182.46,$11.80,15.46
2023-12-31,152.26,$10.26,14.84
2023-09-30,125.4,$9.53,13.16
2023-06-30,157.12,$9.63,16.32
2023-03-31,126.38,$9.41,13.43
2022-12-31,139.89,$9.15,15.29
2022-09-30,87.42,$9.72,8.99
2022-06-30,99.64,$9.82,10.15
2022-03-31,143.18,$11.41,12.55
2021-12-31,127.9,$11.82,10.82
2021-09-30,136.26,$12.42,10.97
2021-06-30,144.01,$12.64,11.39
2021-03-31,131.02,$11.80,11.1
2020-12-31,134.86,$11.01,12.25
2020-09-30,104.97,$10.20,10.29
2020-06-30,91.11,$8.48,10.74
2020-03-31,97.18,$8.19,11.87
2019-12-31,140.48,$9.12,15.4
2019-09-30,145.45,$8.03,18.11
2019-06-30,127.33,$8.77,14.52
2019-03-31,130.52,$8.50,15.35
2018-12-31,113.64,$8.29,13.71
2018-09-30,124.55,$8.90,13.99
2018-06-30,108.49,$8.53,12.72
2018-03-31,115.17,$8.05,14.31
2017-12-31,110.16,$7.81,14.1
2017-09-30,107.72,$7.28,14.8
2017-06-30,118.42,$7.35,16.11
2017-03-31,120.61,$7.33,16.45
2016-12-31,103.02,$7.14,14.43
2016-09-30,119.23,$7.10,16.79
2016-06-30,129.65,$7.04,18.42
2016-03-31,120.49,$6.95,17.34
2015-12-31,115.34,$6.75,17.09
2015-09-30,120.38,$6.72,17.91
2015-06-30,136.96,$6.06,22.6
2015-03-31,113.36,$5.77,19.65
2014-12-31,107.05,$5.28,20.28
2014-09-30,100.45,$4.72,21.28
2014-06-30,91.97,$5.43,16.94
2013-12-31,77.95,$5.13,15.2
2013-09-30,71.9,$5.28,13.62
2013-06-30,64.15,$5.51,11.64
2013-03-31,61.15,$4.71,12.98
2012-12-31,46.25,$4.60,10.05
2014-03-31,78.78,$4.52,17.43
2012-09-30,43.32,$4.12,10.51
2012-06-30,40.83,$4.25,9.61
2012-03-31,39.6,$4.19,9.45
2011-12-31,36.67,$4.03,9.1
2011-09-30,32.05,$3.43,9.34
2011-06-30,48.51,$3.14,15.45
2011-03-31,46.47,$2.77,16.78
2010-12-31,40.79,$2.24,18.21
2010-09-30,36.46,$2.38,15.35
2010-06-30,35.74,$2.63,13.62
2009-12-31,28.5,$2.64,10.79
2009-09-30,28.88,$2.75,10.5
