Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data,Textron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,88.63,,18.94
2024-03-31,95.93,$4.68,20.5
2023-12-31,80.4,$4.57,17.59
2023-09-30,78.1,$4.64,16.83
2023-06-30,67.58,$4.35,15.54
2023-03-31,70.56,$4.05,17.42
2022-12-31,70.71,$4.01,17.63
2022-09-30,58.17,$3.87,15.03
2022-06-30,60.95,$3.63,16.79
2022-03-31,74.22,$3.43,21.64
2021-12-31,76.74,$3.30,23.26
2021-09-30,69.38,$3.40,20.41
2021-06-30,68.33,$3.08,22.18
2021-03-31,55.7,$1.88,29.63
2020-12-31,47.99,$1.35,35.54
2020-09-30,35.82,$1.19,30.1
2020-06-30,32.64,$1.64,19.91
2020-03-31,26.44,$2.97,8.9
2019-12-31,44.18,$3.51,12.59
2019-09-30,48.47,$3.66,13.24
2019-06-30,52.49,$4.97,10.56
2019-03-31,50.12,$4.91,10.21
2018-12-31,45.48,$4.87,9.34
2018-09-30,70.65,$3.45,20.48
2018-06-30,65.13,$1.79,36.39
2018-03-31,58.26,$1.49,39.1
2017-12-31,55.89,$1.14,49.03
2017-09-30,53.19,$2.32,22.93
2017-06-30,46.48,$3.27,14.21
2017-03-31,46.94,$3.35,14.01
2016-12-31,47.88,$3.53,13.56
2016-09-30,39.18,$3.57,10.97
2016-06-30,36.02,$2.65,13.59
2016-03-31,35.9,$2.60,13.81
2015-12-31,41.34,$2.51,16.47
2015-09-30,37.02,$2.45,15.11
2015-06-30,43.88,$2.39,18.36
2015-03-31,43.56,$2.30,18.94
2014-12-31,41.36,$2.14,19.33
2014-09-30,35.33,$1.97,17.94
2014-06-30,37.57,$1.75,21.47
2014-03-31,38.53,$1.64,23.5
2013-12-31,36.03,$1.75,20.59
2013-09-30,27.05,$1.67,16.2
2013-06-30,25.5,$1.83,13.93
2013-03-31,29.16,$2.01,14.51
2012-12-31,24.23,$2.00,12.12
2012-09-30,25.56,$1.42,18.0
2012-06-30,24.27,$1.38,17.59
2012-03-31,27.14,$1.09,24.9
2011-12-31,18.02,$0.78,23.1
2011-09-30,17.17,$1.04,16.51
2011-06-30,22.95,$0.40,57.38
2011-03-31,26.6,$0.38,70.01
2010-12-31,22.94,$0.26,88.25
2010-09-30,19.94,$-0.16,0.0
2010-06-30,16.44,$0.02,821.92
2010-03-31,20.54,$-0.47,0.0
2009-12-31,18.18,$-0.09,0.0
