News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data,News PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,26.74,,74.28
2024-03-31,26.18,$0.36,72.72
2023-12-31,24.46,$0.40,61.14
2023-09-30,19.98,$0.25,79.94
2023-06-30,19.33,$0.27,71.61
2023-03-31,17.12,$0.47,36.43
2022-12-31,17.93,$0.52,34.48
2022-09-30,14.89,$0.80,18.61
2022-06-30,15.26,$1.06,14.4
2022-03-31,21.69,$0.85,25.52
2021-12-31,21.75,$0.84,25.89
2021-09-30,22.94,$0.83,27.64
2021-06-30,25.01,$-0.17,0.0
2021-03-31,24.68,$-1.39,0.0
2020-12-31,17.37,$-1.38,0.0
2020-06-30,11.39,$-2.16,0.0
2020-03-31,8.62,$-1.58,0.0
2019-12-31,13.46,$-0.28,0.0
2019-09-30,13.25,$-0.40,0.0
2019-06-30,12.75,$0.15,85.0
2020-09-30,13.55,$0.41,33.06
2019-03-31,11.76,$-0.29,0.0
2018-12-31,10.73,$-2.25,0.0
2018-09-30,12.47,$-2.55,0.0
2018-06-30,14.53,$-2.60,0.0
2018-03-31,14.82,$-2.70,0.0
2017-12-31,15.11,$-0.77,0.0
2017-09-30,12.36,$-1.13,0.0
2017-06-30,12.67,$-1.28,0.0
2017-03-31,12.03,$-0.39,0.0
2016-12-31,10.52,$-0.64,0.0
2016-09-30,12.83,$-0.03,0.0
2016-06-30,10.34,$0.30,34.47
2016-03-31,11.63,$-0.50,0.0
2015-12-31,12.06,$-0.20,0.0
2015-09-30,11.4,$-0.07,0.0
2015-06-30,13.07,$-0.26,0.0
2015-03-31,14.35,$0.41,34.99
2014-12-31,14.06,$0.45,31.24
2014-09-30,14.65,$0.47,31.17
2014-06-30,16.07,$0.41,39.21
2014-03-31,15.43,$-1.55,0.0
