Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data,Bank Of America PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,39.7,,13.74
2024-03-31,37.92,$2.89,13.12
2023-12-31,33.44,$3.07,10.89
2023-09-30,26.98,$3.57,7.56
2023-06-30,28.03,$3.48,8.06
2023-03-31,27.73,$3.33,8.33
2022-12-31,31.9,$3.19,10.0
2022-09-30,28.91,$3.16,9.15
2022-06-30,29.61,$3.20,9.25
2022-03-31,38.98,$3.50,11.14
2021-12-31,41.87,$3.56,11.76
2021-09-30,39.76,$3.33,11.94
2021-06-30,38.42,$2.99,12.85
2021-03-31,35.91,$2.33,15.41
2020-12-31,27.99,$1.87,14.97
2020-09-30,22.11,$2.02,10.95
2020-06-30,21.65,$2.07,10.46
2020-03-31,19.22,$2.44,7.88
2019-12-31,31.67,$2.74,11.56
2019-09-30,26.09,$2.70,9.66
2019-06-30,25.77,$2.80,9.2
2019-03-31,24.39,$2.69,9.07
2018-12-31,21.67,$2.61,8.3
2018-09-30,25.76,$2.11,12.21
2018-06-30,24.53,$1.86,13.19
2018-03-31,25.99,$1.63,15.94
2017-12-31,25.49,$1.42,17.95
2017-03-31,20.11,$1.58,12.73
2016-12-31,18.79,$1.38,13.61
2016-09-30,13.26,$1.26,10.52
2016-06-30,11.19,$1.22,9.17
2016-03-31,11.36,$1.31,8.67
2015-12-31,14.09,$1.37,10.28
2015-09-30,13.01,$1.34,9.71
2015-06-30,14.16,$0.96,14.75
2015-03-31,12.77,$0.70,18.24
2014-12-31,14.8,$0.72,20.55
2014-09-30,14.06,$0.67,20.99
2014-06-30,12.64,$1.00,12.64
2013-12-31,12.79,$1.01,12.66
2013-09-30,11.32,$0.75,15.1
2013-06-30,10.55,$0.50,21.09
2013-03-31,9.98,$0.18,55.45
2012-12-31,9.51,$0.17,55.91
2014-03-31,14.13,$0.17,83.13
2012-09-30,7.22,$0.37,19.52
2012-06-30,6.68,$0.95,7.03
2012-03-31,7.81,$-0.14,0.0
2011-12-31,4.53,$-0.00,0.0
2011-09-30,4.98,$-0.31,0.0
2011-06-30,8.9,$-1.66,0.0
2011-03-31,10.82,$-0.49,0.0
2010-12-31,10.82,$-0.38,0.0
2010-09-30,10.62,$-0.82,0.0
2010-06-30,11.63,$-0.31,0.0
2010-03-31,14.44,$-0.25,0.0
2009-12-31,12.18,$-0.09,0.0
2009-09-30,13.67,$0.99,13.81
2009-06-30,10.66,$1.71,6.23
