M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data,M&T Bank PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,150.66,,10.19
2024-03-31,145.44,$14.79,9.83
2023-12-31,135.79,$15.78,8.61
2023-09-30,124.0,$17.33,7.16
2023-06-30,120.12,$16.88,7.12
2023-03-31,114.8,$12.91,8.89
2022-12-31,138.09,$11.52,11.99
2022-09-30,166.68,$10.60,15.72
2022-06-30,149.68,$10.76,13.91
2022-03-31,158.12,$13.09,12.08
2021-12-31,142.34,$13.80,10.31
2021-09-30,137.33,$13.95,9.84
2021-06-30,132.58,$13.01,10.19
2021-03-31,137.39,$11.34,12.12
2020-12-31,114.52,$9.94,11.52
2020-09-30,82.07,$10.02,8.19
2020-06-30,91.68,$10.74,8.54
2020-03-31,90.27,$12.34,7.31
2019-12-31,146.99,$13.76,10.68
2019-09-30,135.89,$13.92,9.76
2019-06-30,145.3,$13.98,10.39
2019-03-31,133.32,$13.90,9.59
2018-12-31,120.82,$12.78,9.45
2018-09-30,138.08,$11.03,12.52
2018-06-30,141.98,$9.71,14.62
2018-03-31,153.13,$8.80,17.4
2017-12-31,141.47,$8.69,16.28
2017-09-30,132.65,$8.66,15.32
2017-06-30,132.73,$8.55,15.52
2017-03-31,126.22,$8.18,15.43
2016-12-31,127.03,$7.79,16.31
2016-09-30,93.83,$7.46,12.58
2016-06-30,94.98,$7.29,13.03
2016-03-31,88.65,$7.29,12.16
2015-12-31,96.15,$7.21,13.34
2015-09-30,96.23,$7.48,12.86
2015-06-30,98.0,$7.46,13.14
2015-03-31,99.06,$7.46,13.28
2014-12-31,97.42,$7.42,13.13
2014-09-30,95.08,$7.06,13.47
2014-06-30,95.13,$7.26,13.1
2014-03-31,92.48,$7.83,11.81
2013-12-31,88.23,$8.20,10.76
2013-09-30,84.31,$8.80,9.58
2013-06-30,83.67,$8.86,9.44
2013-03-31,76.73,$8.02,9.57
2012-12-31,72.74,$7.54,9.65
2012-09-30,69.79,$6.42,10.87
2012-06-30,60.08,$5.57,10.79
2012-03-31,62.67,$6.28,9.98
2011-12-31,54.6,$6.37,8.57
2011-09-30,49.48,$6.92,7.15
2011-06-30,61.69,$7.08,8.71
2011-03-31,61.56,$6.12,10.06
2010-12-31,60.09,$5.69,10.56
2010-09-30,55.97,$5.14,10.89
2010-06-30,57.64,$4.63,12.45
2010-03-31,53.4,$3.53,15.13
2009-12-31,44.6,$2.86,15.59
