Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data,Hormel Foods PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,35.11,,24.05
2024-01-31,30.12,$1.46,20.63
2023-10-31,32.0,$1.46,21.92
2023-07-31,39.84,$1.61,24.75
2023-04-30,39.15,$1.71,22.89
2023-01-31,43.56,$1.79,24.33
2022-10-31,44.39,$1.83,24.25
2022-07-31,46.88,$1.83,25.62
2022-04-30,49.5,$1.75,28.29
2022-01-31,44.63,$1.69,26.41
2021-10-31,39.58,$1.66,23.84
2021-07-31,43.13,$1.58,27.3
2021-04-30,42.74,$1.63,26.22
2021-01-31,43.13,$1.63,26.46
2020-10-31,44.57,$1.67,26.69
2020-07-31,46.34,$1.71,27.1
2020-04-30,42.48,$1.71,24.84
2020-01-31,42.64,$1.81,23.56
2019-10-31,36.71,$1.80,20.39
2019-07-31,36.61,$1.81,20.23
2019-04-30,35.49,$1.83,19.39
2019-01-31,37.41,$1.75,21.38
2018-10-31,38.39,$1.87,20.53
2018-07-31,31.5,$1.80,17.5
2018-04-30,31.59,$1.75,18.05
2018-01-31,29.76,$1.70,17.5
2017-10-31,26.86,$1.58,17.0
2017-07-31,29.29,$1.62,18.08
2017-04-30,29.92,$1.64,18.24
2017-01-31,30.81,$1.65,18.67
2016-10-31,32.52,$1.64,19.83
2016-07-31,31.42,$1.54,20.47
2016-04-30,32.31,$1.45,22.36
2016-01-31,33.57,$1.38,24.33
2015-10-31,28.1,$1.27,22.12
2015-07-31,24.53,$1.24,19.79
2015-04-30,22.42,$1.23,18.31
2015-01-31,21.04,$1.15,18.3
2014-10-31,22.04,$1.12,19.77
2014-07-31,18.43,$1.09,16.91
2014-04-30,19.34,$1.05,18.5
2014-01-31,18.35,$1.02,18.08
2013-10-31,17.47,$0.97,18.01
2013-07-31,16.96,$0.93,18.33
2013-04-30,16.46,$0.92,17.89
2013-01-31,13.75,$0.93,14.78
2012-10-31,11.61,$0.93,12.49
2012-07-31,10.92,$0.90,12.13
2012-04-30,11.31,$0.88,12.93
2012-01-31,11.14,$0.84,13.34
2011-10-31,11.35,$0.82,13.84
2011-07-31,11.11,$0.76,14.57
2011-04-30,11.23,$0.73,15.49
2010-10-31,8.68,$0.73,11.9
2010-07-31,8.08,$0.70,11.58
2010-04-30,7.63,$0.82,9.37
2010-01-31,7.21,$0.82,8.85
2009-10-31,6.76,$0.76,8.92
2011-01-31,9.39,$0.72,13.13
