Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data,Electronic Arts PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,135.06,,28.86
2024-03-31,132.67,$4.68,28.35
2023-12-31,136.62,$3.97,34.41
2023-09-30,120.07,$3.63,33.08
2023-06-30,129.14,$3.23,39.98
2023-03-31,119.75,$2.87,41.72
2022-12-31,121.26,$3.71,32.69
2022-09-30,114.67,$3.21,35.72
2022-06-30,120.38,$3.16,38.09
2022-03-31,125.02,$2.76,45.3
2021-12-31,130.16,$2.22,58.63
2021-09-30,140.19,$2.71,51.73
2021-06-30,141.58,$2.32,61.03
2021-03-31,133.09,$2.86,46.54
2020-12-31,141.01,$4.03,34.99
2020-09-30,127.89,$4.49,28.48
2020-06-30,129.5,$6.75,19.18
2020-03-31,98.23,$10.25,9.58
2019-12-31,105.43,$9.51,11.09
2019-09-30,95.93,$9.19,10.44
2019-06-30,99.3,$7.13,13.93
2019-03-31,99.66,$3.33,29.93
2018-12-31,77.38,$4.59,16.86
2018-09-30,118.16,$3.13,37.75
2018-06-30,138.29,$2.23,62.01
2018-03-31,118.89,$3.34,35.6
2017-12-31,103.03,$3.20,32.2
2017-09-30,115.78,$3.80,30.47
2017-06-30,103.68,$3.74,27.72
2017-03-31,87.79,$3.08,28.5
2016-12-31,77.24,$4.06,19.02
2016-09-30,83.75,$3.92,21.36
2016-06-30,74.29,$3.60,20.64
2016-03-31,64.83,$3.52,18.42
2015-12-31,67.39,$1.92,35.1
2015-09-30,66.44,$2.50,26.58
2015-06-30,65.21,$2.96,22.03
2015-03-31,57.68,$2.68,21.52
2014-12-31,46.11,$2.64,17.46
2014-09-30,34.92,$1.20,29.1
2014-06-30,35.18,$0.30,117.25
2014-03-31,28.45,$-0.03,0.0
2013-12-31,22.5,$-0.13,0.0
2013-09-30,25.06,$0.72,34.8
2013-06-30,22.55,$0.40,56.36
2013-03-31,17.36,$0.32,54.24
2012-12-31,14.24,$0.47,30.3
2012-09-30,12.44,0,0.0
2012-06-30,12.11,$0.18,67.28
2012-03-31,16.17,$0.21,76.98
2011-12-31,20.2,$-0.54,0.0
2011-09-30,20.05,$-0.89,0.0
2011-06-30,23.14,$-0.47,0.0
2011-03-31,19.15,$-0.84,0.0
2010-12-31,16.06,$-1.20,0.0
2010-09-30,16.13,$-0.48,0.0
2010-06-30,14.12,$-1.08,0.0
2010-03-31,18.3,$-2.09,0.0
2009-12-31,17.41,$-2.31,0.0
