General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data,General Dynamics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,299.62,,24.44
2024-03-31,281.1,$12.26,22.93
2023-12-31,257.04,$12.02,21.38
2023-09-30,217.41,$11.96,18.18
2023-06-30,210.39,$12.18,17.27
2023-03-31,221.88,$12.09,18.35
2022-12-31,239.92,$12.84,18.69
2022-09-30,204.02,$12.33,16.55
2022-03-31,229.41,$11.68,19.64
2021-12-31,197.19,$11.55,17.07
2021-09-30,184.33,$11.65,15.82
2021-06-30,175.91,$10.76,16.35
2021-03-31,168.56,$10.58,15.93
2020-12-31,137.19,$11.61,11.82
2020-06-30,135.73,$11.26,12.05
2020-03-31,119.2,$11.85,10.06
2019-12-31,157.99,$11.98,13.19
2019-09-30,162.77,$11.54,14.1
2019-06-30,161.06,$11.25,14.32
2019-03-31,149.06,$11.10,13.43
2018-12-31,137.66,$11.19,12.3
2018-09-30,178.46,$10.22,17.46
2018-06-30,161.7,$10.12,15.98
2018-03-31,190.8,$10.02,19.04
2017-12-31,175.02,$9.82,17.82
2022-06-30,212.75,$10.20,20.86
2017-09-30,176.16,$10.03,17.56
2017-06-30,169.04,$9.72,17.39
2017-03-31,159.02,$10.17,15.64
2016-12-31,146.04,$10.13,14.42
2016-09-30,130.59,$9.85,13.26
2020-09-30,126.65,$10.04,12.61
2016-06-30,117.2,$9.42,12.44
2016-03-31,109.32,$9.25,11.82
2015-12-31,113.7,$9.09,12.51
2015-09-30,113.63,$8.78,12.94
2015-06-30,116.71,$8.56,13.63
2015-03-31,110.7,$7.87,14.07
2014-12-31,111.73,$7.44,15.02
2014-09-30,102.67,$6.75,15.21
2014-06-30,93.65,$6.53,14.34
2014-03-31,87.02,$6.76,12.87
2013-12-31,75.9,$6.67,11.38
2013-09-30,69.06,$-0.80,0.0
2013-06-30,61.37,$-0.94,0.0
2013-03-31,54.8,$-0.98,0.0
2012-12-31,53.84,$-1.03,0.0
2012-09-30,50.61,$6.72,7.53
2012-06-30,50.1,$6.82,7.35
2012-03-31,55.33,$6.81,8.13
2011-12-31,49.75,$6.88,7.23
2011-09-30,42.28,$7.11,5.95
2011-06-30,55.38,$7.01,7.9
2011-03-31,56.18,$6.92,8.12
2010-12-31,51.76,$6.81,7.6
2010-09-30,45.52,$6.47,7.04
2010-06-30,42.44,$6.24,6.8
2010-03-31,55.25,$6.17,8.95
2009-12-31,48.52,$6.17,7.86
