Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data,Loews PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,74.75,,11.09
2024-03-31,78.29,$6.74,11.62
2023-12-31,69.53,$6.30,11.04
2023-09-30,63.2,$5.84,10.82
2023-06-30,59.22,$5.26,11.26
2023-03-31,57.8,$4.41,13.11
2022-12-31,58.05,$4.16,13.95
2022-09-30,49.54,$4.00,12.39
2022-06-30,58.85,$4.31,13.65
2022-03-31,64.3,$6.44,9.98
2021-12-31,57.24,$6.05,9.46
2021-09-30,53.39,$6.13,8.71
2021-06-30,54.04,$5.78,9.35
2021-03-31,50.65,$-0.04,0.0
2020-12-31,44.41,$-3.21,0.0
2020-09-30,34.23,$-3.93,0.0
2020-06-30,33.72,$-4.19,0.0
2020-03-31,34.19,$-0.41,0.0
2019-12-31,51.46,$3.06,16.82
2019-09-30,50.41,$1.80,28.0
2019-06-30,53.46,$2.44,21.91
2019-03-31,46.81,$2.34,20.01
2018-12-31,44.4,$1.96,22.65
2018-09-30,48.93,$3.92,12.48
2018-06-30,46.97,$3.50,13.42
2018-03-31,48.32,$3.47,13.93
2017-12-31,48.55,$3.45,14.07
2017-09-30,46.39,$2.81,16.51
2017-06-30,45.31,$3.32,13.65
2017-03-31,45.21,$2.44,18.53
2016-12-31,45.21,$1.87,24.18
2016-09-30,39.67,$0.50,79.34
2016-06-30,39.55,$0.03,1318.42
2016-03-31,36.77,$0.68,54.08
2015-12-31,36.84,$0.67,54.99
2015-09-30,34.62,$1.80,19.23
2015-06-30,36.83,$1.85,19.91
2015-03-31,38.98,$1.69,23.07
2014-12-31,40.06,$1.55,25.84
2014-09-30,39.66,$0.49,80.93
2014-06-30,41.83,$0.67,62.44
2014-03-31,41.81,$1.06,39.45
2013-12-31,45.72,$1.53,29.88
2013-09-30,44.24,$1.96,22.57
2013-06-30,41.97,$1.68,24.98
2013-03-31,41.6,$1.13,36.82
2012-12-31,38.36,$1.43,26.82
2012-09-30,38.78,$2.18,17.79
2012-06-30,38.39,$2.13,18.02
2012-03-31,37.35,$2.61,14.31
2011-12-31,35.22,$2.61,13.49
2011-09-30,32.26,$3.06,10.54
2011-06-30,39.24,$2.75,14.27
2011-03-31,40.11,$3.00,13.37
2010-12-31,36.16,$3.07,11.78
2010-09-30,35.17,$2.89,12.17
2010-06-30,30.85,$3.88,7.95
2010-03-31,34.47,$3.79,9.09
2009-12-31,33.55,$1.31,25.61
