Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data,Sirius XM Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,2.75,,8.33
2024-03-31,3.85,$0.33,11.66
2023-12-31,5.39,$0.32,16.86
2023-09-30,4.43,$0.32,13.85
2023-06-30,4.42,$0.29,15.24
2023-03-31,3.85,$0.28,13.74
2022-12-31,5.63,$0.30,18.78
2022-09-30,5.49,$0.29,18.92
2022-06-30,5.87,$0.31,18.94
2022-03-31,6.32,$0.34,18.58
2021-12-31,5.81,$0.31,18.74
2021-09-30,5.56,$0.07,79.46
2021-06-30,5.95,$0.05,119.0
2021-03-31,5.53,0,0.0
2020-12-31,5.77,$0.02,288.36
2020-09-30,4.84,$0.23,21.05
2020-06-30,5.29,$0.22,24.04
2020-03-31,4.44,$0.23,19.31
2019-12-31,6.42,$0.19,33.77
2019-09-30,5.6,$0.20,28.01
2019-06-30,4.99,$0.22,22.67
2019-03-31,5.06,$0.22,22.99
2018-12-31,5.08,$0.25,20.33
2018-09-30,5.61,$0.18,31.19
2018-06-30,6.0,$0.17,35.32
2018-03-31,5.53,$0.15,36.84
2017-12-31,4.74,$0.13,36.45
2017-09-30,4.87,$0.18,27.05
2017-06-30,4.82,$0.16,30.1
2017-03-31,4.53,$0.15,30.17
2016-12-31,3.9,$0.14,27.87
2016-09-30,3.65,$0.13,28.06
2016-06-30,3.46,$0.12,28.8
2016-03-31,3.46,$0.11,31.41
2015-12-31,3.56,$0.10,35.61
2015-09-30,3.27,$0.10,32.68
2015-06-30,3.26,$0.09,36.26
2015-03-31,3.34,$0.09,37.13
2014-12-31,3.06,$0.09,34.02
2014-09-30,3.05,$0.07,43.62
2014-06-30,3.03,$0.06,50.45
2014-03-31,2.8,$0.06,46.66
2013-12-31,3.05,$0.06,50.89
2013-09-30,3.39,$0.07,48.43
2013-06-30,2.93,$0.07,41.87
2013-03-31,2.69,$0.53,5.08
2012-12-31,2.53,$0.53,4.77
2012-09-30,2.23,$0.52,4.28
2012-06-30,1.59,$0.53,3.0
2012-03-31,1.99,$0.08,24.83
2011-12-31,1.57,$0.07,22.36
2011-09-30,1.3,$0.04,32.47
2011-06-30,1.88,$0.03,62.78
2011-03-31,1.42,0,0.0
2010-12-31,1.4,0,0.0
2010-09-30,1.03,$0.02,51.61
2010-06-30,0.82,$-0.03,0.0
2010-03-31,0.75,$-0.07,0.0
2009-12-31,0.52,$-0.15,0.0
