Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data,Ingersoll Rand PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,95.5,,47.51
2024-03-31,94.93,$2.01,47.23
2023-12-31,77.31,$1.90,40.69
2023-09-30,63.67,$1.87,34.05
2023-06-30,65.29,$1.72,37.96
2023-03-31,58.1,$1.62,35.86
2022-12-31,52.16,$1.48,35.24
2022-09-30,43.17,$1.66,26.01
2022-06-30,41.98,$1.60,26.24
2022-03-31,50.2,$1.81,27.74
2021-12-31,61.66,$1.35,45.68
2021-09-30,50.23,$1.00,50.23
2021-06-30,48.63,$0.77,63.16
2021-03-31,49.03,$-0.21,0.0
2020-12-31,45.39,$0.12,378.28
2020-09-30,35.47,$-0.04,0.0
2020-06-30,28.02,$0.10,280.17
2019-12-31,36.55,$0.76,48.09
2019-09-30,28.19,$1.09,25.86
2019-06-30,34.47,$0.76,45.36
2019-03-31,27.71,$0.90,30.79
2018-12-31,20.38,$0.96,21.22
2020-03-31,24.71,$0.71,34.8
2018-09-30,28.24,$1.53,18.46
2018-06-30,29.28,$1.31,22.35
2018-03-31,30.57,$0.19,160.88
