ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data,ONEOK PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,80.85,,18.8
2024-03-31,79.18,$4.30,18.41
2023-12-31,68.38,$5.55,12.32
2023-09-30,60.88,$5.45,11.17
2023-06-30,58.4,$5.42,10.78
2023-03-31,59.26,$5.30,11.18
2022-12-31,60.43,$3.83,15.78
2022-09-30,46.4,$3.60,12.89
2022-06-30,49.48,$3.52,14.06
2022-03-31,62.05,$3.37,18.41
2021-12-31,50.82,$3.36,15.13
2021-09-30,49.43,$3.20,15.45
2021-06-30,46.59,$3.02,15.43
2021-03-31,41.65,$2.57,16.21
2020-12-31,30.83,$1.37,22.5
2020-09-30,20.22,$1.45,13.94
2020-06-30,25.01,$1.49,16.79
2020-03-31,15.89,$1.92,8.27
2019-12-31,54.43,$2.96,18.39
2019-09-30,52.33,$2.94,17.8
2019-06-30,48.23,$2.88,16.75
2018-12-31,36.84,$2.77,13.3
2018-09-30,45.66,$2.23,20.48
2018-06-30,46.47,$1.81,25.67
2018-03-31,37.38,$1.54,24.27
2017-12-31,34.66,$1.33,26.06
2017-06-30,32.89,$1.60,20.56
2017-03-31,34.56,$1.67,20.7
2016-12-31,35.39,$1.66,21.32
2016-09-30,31.29,$1.35,23.18
2016-06-30,28.5,$1.31,21.75
2016-03-31,17.63,$1.27,13.88
2015-12-31,14.19,$1.16,12.24
2015-09-30,18.2,$1.49,12.21
2015-06-30,21.96,$1.41,15.58
2015-03-31,26.5,$1.34,19.78
2014-12-31,26.97,$1.49,18.1
2014-09-30,35.15,$1.47,23.91
2014-06-30,36.18,$1.46,24.78
2014-03-31,31.21,$1.17,26.67
2013-12-31,28.61,$1.27,22.53
2013-09-30,24.37,$1.37,17.79
2013-06-30,18.75,$1.38,13.58
2013-03-31,21.48,$1.67,12.86
2012-12-31,19.12,$1.71,11.18
2012-09-30,21.45,$1.73,12.44
2012-06-30,18.65,$1.70,10.97
2012-03-31,17.87,$1.67,10.73
2011-12-31,18.83,$1.47,12.86
2011-09-30,14.24,$1.18,12.12
2011-06-30,15.84,$1.09,14.6
2010-12-31,11.68,$1.55,7.54
2010-09-30,9.39,$1.61,5.85
2010-06-30,8.93,$1.95,4.59
2010-03-31,9.34,$1.98,4.73
2009-12-31,9.03,$1.45,6.23
2011-03-31,14.21,$1.60,8.91
2009-09-30,7.34,$1.43,5.13
2009-06-30,5.83,$2.02,2.89
