Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data,Moody's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,410.6,,48.59
2024-03-31,392.22,$8.45,46.42
2023-12-31,388.89,$6.95,55.96
2023-09-30,314.15,$6.87,45.73
2022-12-31,274.8,$7.44,36.94
2022-09-30,239.21,$8.38,28.55
2022-06-30,267.02,$8.78,30.41
2022-03-31,330.45,$9.54,34.64
2021-12-31,381.7,$9.93,38.44
2023-06-30,344.7,$11.55,29.84
2021-09-30,346.48,$11.16,31.05
2021-06-30,352.98,$11.10,31.8
2021-03-31,290.31,$10.72,27.08
2020-12-31,281.55,$9.39,29.98
2020-09-30,280.6,$9.61,29.2
2020-06-30,265.43,$9.13,29.07
2020-03-31,203.89,$8.06,25.3
2019-12-31,228.39,$8.21,27.82
2019-09-30,196.61,$8.26,23.8
2019-06-30,187.04,$7.56,24.74
2023-03-31,302.62,$7.53,40.19
2019-03-31,172.96,$6.75,25.62
2018-12-31,133.36,$6.74,19.79
2018-09-30,158.75,$5.58,28.45
2018-06-30,161.53,$5.62,28.74
2018-03-31,152.37,$5.29,28.8
2017-12-31,139.07,$5.15,27.0
2017-09-30,130.82,$2.80,46.72
2017-06-30,114.02,$2.47,46.16
2017-03-31,104.63,$1.79,58.45
2016-12-31,87.73,$1.10,79.76
2016-06-30,86.59,$4.46,19.41
2016-03-31,88.87,$4.44,20.02
2015-12-31,91.96,$4.62,19.9
2015-09-30,89.7,$4.65,19.29
2015-06-30,98.31,$4.51,21.8
2015-03-31,94.23,$4.71,20.01
2014-12-31,86.68,$4.60,18.84
2014-09-30,85.26,$4.42,19.29
2014-06-30,78.85,$4.25,18.55
2014-03-31,71.1,$3.77,18.86
2013-12-31,70.09,$3.60,19.47
2013-09-30,62.61,$3.36,18.63
2013-06-30,54.03,$3.34,16.18
2013-03-31,47.14,$3.10,15.21
2012-12-31,44.3,$3.03,14.62
2012-09-30,38.75,$2.76,14.04
2012-06-30,31.93,$2.52,12.67
2012-03-31,36.62,$2.58,14.19
2011-12-31,29.17,$3.13,9.32
2011-09-30,26.26,$3.37,7.79
2011-06-30,32.93,$3.38,9.74
2016-09-30,100.41,$3.14,31.98
2011-03-31,29.01,$2.34,12.4
2010-12-31,22.62,$2.14,10.57
2010-09-30,21.21,$1.99,10.66
2010-06-30,16.83,$1.83,9.2
2010-03-31,25.02,$1.78,14.05
2009-12-31,22.45,$1.69,13.28
