Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data,Kraft Heinz PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,35.85,,15.66
2024-03-31,36.9,$2.29,16.11
2023-12-31,36.56,$2.35,15.56
2023-09-30,32.88,$2.09,15.73
2023-06-30,34.28,$2.09,16.4
2022-12-31,38.5,$1.91,20.16
2022-09-30,31.22,$0.98,31.85
2022-06-30,35.33,$1.31,26.97
2022-03-31,36.1,$1.69,21.36
2021-12-31,32.56,$1.04,31.31
2023-03-31,36.96,$1.71,21.61
2021-09-30,33.02,$1.87,17.66
2021-06-30,36.17,$1.77,20.43
2021-03-31,35.15,$0.44,79.89
2020-12-31,30.14,$0.29,103.95
2020-09-30,25.73,$-0.40,0.0
2020-06-30,27.09,$-0.15,0.0
2020-03-31,20.74,$1.57,13.21
2019-12-31,26.41,$1.59,16.61
2019-09-30,22.67,$-8.90,0.0
2019-06-30,24.79,$-9.13,0.0
2019-03-31,25.7,$-8.88,0.0
2018-12-31,33.46,$-8.40,0.0
2018-09-30,42.34,$8.46,5.0
2018-06-30,47.77,$8.72,5.48
2018-03-31,46.86,$9.04,5.18
2017-12-31,57.96,$8.96,6.47
2017-09-30,57.35,$3.21,17.87
2017-06-30,62.88,$3.13,20.09
2017-03-31,66.23,$2.82,23.49
2016-12-31,63.27,$2.82,22.44
2016-09-30,64.38,$2.28,28.24
2016-06-30,63.22,$1.32,47.89
