Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data,Johnson & Johnson PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,146.97,,9.16
2024-03-31,156.9,$16.04,9.78
2023-12-31,154.29,$13.81,11.17
2023-09-30,152.11,$13.47,11.29
2023-06-30,160.5,$4.94,32.49
2023-03-31,149.17,$4.78,31.21
2022-12-31,168.82,$6.74,25.05
2022-09-30,155.12,$7.18,21.6
2022-06-30,167.43,$6.87,24.37
2022-03-31,166.12,$7.42,22.39
2021-12-31,159.31,$7.81,20.4
2021-09-30,149.41,$6.69,22.33
2021-06-30,151.5,$6.65,22.78
2021-03-31,150.21,$5.66,26.54
2020-12-31,142.95,$5.51,25.94
2020-09-30,134.28,$6.36,21.11
2020-06-30,126.0,$6.84,18.42
2020-03-31,116.68,$7.56,15.43
2019-12-31,128.95,$6.78,19.02
2019-09-30,113.59,$6.40,17.75
2019-06-30,122.28,$6.03,20.28
2019-03-31,121.89,$5.40,22.57
2018-12-31,111.79,$5.61,19.93
2018-09-30,118.93,$0.50,237.87
2018-06-30,103.75,$0.43,241.29
2018-03-31,108.77,$0.38,286.24
2017-12-31,117.84,$0.39,302.16
2017-09-30,108.99,$5.76,18.92
2017-06-30,110.2,$5.92,18.61
2017-03-31,103.07,$5.95,17.32
2016-12-31,94.72,$5.88,16.11
2016-09-30,96.46,$5.65,17.07
2016-06-30,98.39,$5.32,18.49
2016-03-31,87.14,$5.50,15.84
2015-12-31,82.14,$5.49,14.96
2015-09-30,74.1,$5.23,14.17
2015-06-30,76.76,$5.69,13.49
2015-03-31,78.66,$5.59,14.07
2014-12-31,81.2,$5.70,14.25
2014-09-30,82.23,$6.04,13.61
2014-06-30,80.17,$5.42,14.79
2014-03-31,74.75,$5.24,14.27
2013-12-31,69.2,$4.82,14.36
2013-09-30,65.05,$4.50,14.46
2013-06-30,63.95,$4.51,14.18
2013-03-31,60.27,$3.68,16.38
2012-12-31,51.41,$3.87,13.28
2012-09-30,50.1,$3.04,16.48
2012-06-30,48.67,$3.14,15.5
2012-03-31,47.07,$3.64,12.93
2011-12-31,46.39,$3.48,13.33
2011-09-30,44.63,$4.10,10.89
2011-06-30,46.21,$4.18,11.05
2011-03-31,40.8,$4.41,9.25
2010-12-31,42.21,$4.78,8.83
2010-09-30,41.92,$4.87,8.61
2010-06-30,39.59,$4.84,8.18
2010-03-31,43.31,$4.76,9.1
2009-12-31,42.46,$4.40,9.65
