EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data,EOG Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,123.27,,9.74
2024-03-31,126.97,$12.66,10.03
2023-12-31,119.16,$13.01,9.16
2023-09-30,122.59,$13.46,9.11
2023-06-30,109.92,$14.84,7.41
2023-03-31,109.35,$15.99,6.84
2022-12-31,121.58,$13.21,9.2
2022-09-30,103.0,$12.73,8.09
2022-06-30,99.84,$9.75,10.24
2022-03-31,105.68,$7.49,14.11
2021-12-31,77.49,$7.98,9.71
2021-09-30,68.11,$5.17,13.17
2021-06-30,69.51,$3.22,21.59
2021-03-31,60.08,$0.10,600.83
2020-12-31,41.06,$-1.04,0.0
2020-09-30,29.31,$-0.52,0.0
2020-06-30,40.99,$0.61,67.19
2020-03-31,28.79,$3.64,7.91
2019-12-31,66.91,$4.72,14.18
2019-09-30,59.04,$5.16,11.44
2019-06-30,73.87,$6.15,12.01
2019-03-31,75.31,$5.89,12.79
2018-12-31,68.85,$5.89,11.69
2018-09-30,100.53,$8.55,11.76
2018-06-30,97.91,$6.67,14.68
2018-03-31,82.69,$5.51,15.01
2017-12-31,84.64,$4.46,18.98
2017-09-30,75.75,$0.01,7575.09
2017-06-30,70.75,$-0.51,0.0
2017-03-31,76.12,$-1.08,0.0
2016-12-31,78.76,$-1.99,0.0
2016-09-30,75.21,$-2.26,0.0
2016-06-30,64.74,$-9.38,0.0
2016-03-31,56.21,$-8.84,0.0
2015-12-31,54.68,$-8.29,0.0
2015-09-30,56.12,$-6.96,0.0
2015-06-30,67.36,$2.52,26.73
2015-03-31,70.42,$3.80,18.53
2014-12-31,70.58,$5.32,13.27
2014-09-30,75.76,$5.57,13.6
2014-06-30,89.32,$4.41,20.28
2014-03-31,74.87,$4.33,17.31
2013-12-31,63.99,$4.03,15.9
2013-09-30,64.47,$2.03,31.84
2013-06-30,50.09,$1.84,27.29
2013-03-31,48.64,$1.36,35.76
2012-12-31,45.81,$1.05,43.63
2012-09-30,42.43,$2.22,19.16
2012-06-30,34.06,$2.57,13.28
2012-03-31,41.93,$2.38,17.62
2011-12-31,37.12,$2.04,18.2
2011-09-30,26.7,$1.92,13.91
2011-06-30,39.25,$0.78,50.65
2011-03-31,44.43,$0.35,128.78
2010-12-31,34.22,$0.32,108.62
2010-09-30,34.75,$1.00,34.75
2010-06-30,36.71,$1.15,31.92
2010-03-31,34.63,$1.00,34.81
2009-12-31,36.21,$1.08,33.52
