Lululemon Athletica Inc PE Ratio Historical Data,Lululemon Athletica Inc PE Ratio Historical Data,Lululemon Athletica Inc PE Ratio Historical Data,Lululemon Athletica Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,303.01,,24.82
2024-01-31,453.82,$12.21,37.17
2023-10-31,393.48,$7.86,50.06
2023-07-31,378.53,$7.90,47.92
2023-04-30,379.93,$7.48,50.79
2023-01-31,306.88,$6.68,45.94
2022-10-31,329.04,$9.10,36.16
2022-07-31,310.51,$8.54,36.36
2022-04-30,354.63,$7.87,45.06
2022-01-31,333.76,$7.50,44.5
2021-10-31,466.01,$6.66,69.97
2021-07-31,400.17,$6.32,63.32
2021-04-30,335.27,$5.39,62.2
2021-01-31,328.68,$4.50,73.04
2020-10-31,319.29,$4.26,74.95
2020-07-31,325.59,$4.12,79.03
2020-04-30,223.48,$4.42,50.56
2020-01-31,239.39,$4.94,48.46
2019-10-31,204.27,$4.31,47.39
2019-07-31,191.09,$4.06,47.07
2019-04-30,176.35,$3.81,46.29
2019-01-31,147.81,$3.62,40.83
2018-10-31,140.73,$2.85,49.38
2018-07-31,119.95,$2.57,46.67
2018-04-30,99.8,$2.22,44.95
2018-01-31,78.21,$1.90,41.16
2017-10-31,61.51,$2.01,30.6
2017-07-31,61.64,$2.08,29.63
2017-04-30,52.0,$2.11,24.64
2017-01-31,67.51,$2.21,30.55
2016-10-31,57.25,$2.07,27.66
2016-07-31,77.65,$1.95,39.82
2016-04-30,65.55,$1.90,34.5
2016-01-31,62.07,$1.91,32.5
2015-10-31,49.17,$1.84,26.72
2015-07-31,62.86,$1.88,33.44
2015-04-30,63.64,$1.87,34.03
2015-01-31,66.24,$1.66,39.9
2014-10-31,41.65,$1.63,25.55
2014-07-31,38.47,$1.66,23.17
2014-04-30,45.93,$1.72,26.7
2014-01-31,45.69,$1.91,23.92
2013-10-31,69.09,$1.91,36.17
2013-07-31,69.57,$1.85,37.61
2013-04-30,76.13,$1.85,41.15
2013-01-31,69.0,$1.85,37.3
2012-10-31,68.84,$1.61,42.76
2012-07-31,56.48,$1.49,37.91
2012-04-30,74.14,$1.36,54.51
2012-01-31,63.13,$1.27,49.71
2011-10-31,56.48,$1.14,49.54
2011-07-31,60.54,$1.05,57.66
2011-04-30,50.03,$0.94,53.22
2011-01-31,34.34,$0.85,40.64
2010-10-31,22.16,$0.67,33.32
2010-07-31,20.74,$0.59,35.45
2010-04-30,18.81,$0.50,37.62
2010-01-31,14.12,$0.41,34.44
2009-10-31,12.56,$0.29,43.31
