Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data,Pool PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,362.46,,28.36
2024-03-31,402.24,$12.78,31.47
2023-12-31,396.39,$13.32,29.76
2023-09-30,352.87,$13.82,25.53
2023-06-30,370.18,$15.09,24.53
2023-03-31,337.27,$16.81,20.06
2022-12-31,296.92,$18.64,15.93
2022-09-30,311.48,$19.47,16.0
2022-06-30,342.9,$19.23,17.83
2022-03-31,411.83,$17.97,22.92
2021-12-31,550.28,$15.98,34.44
2021-09-30,421.7,$14.78,28.53
2021-06-30,444.51,$13.16,33.78
2021-03-31,333.98,$10.66,31.33
2020-12-31,359.74,$8.68,41.44
2020-09-30,322.53,$9.18,35.13
2020-06-30,261.64,$9.48,27.6
2019-12-31,203.31,$6.41,31.72
2019-09-30,192.57,$6.38,30.18
2019-06-30,181.83,$5.18,35.1
2019-03-31,156.58,$3.62,43.25
2018-12-31,140.7,$5.62,25.03
2020-03-31,188.86,$5.96,31.69
2018-09-30,157.48,$5.83,27.01
2018-06-30,142.56,$5.33,26.75
2018-03-31,137.18,$3.05,44.98
2017-12-31,121.32,$2.36,51.41
2017-09-30,100.91,$2.77,36.43
2017-03-31,110.6,$3.59,30.81
2016-12-31,96.45,$3.45,27.96
2016-09-30,87.09,$3.45,25.24
2016-06-30,86.37,$3.32,26.01
2016-03-31,80.31,$3.09,25.99
2015-12-31,73.7,$2.90,25.41
2015-09-30,65.76,$2.79,23.57
2015-06-30,63.59,$4.10,15.51
2015-03-31,62.98,$3.13,20.12
2014-12-31,57.08,$4.55,12.55
2017-06-30,109.3,$4.69,23.3
2014-09-30,48.34,$2.37,20.4
2014-06-30,50.51,$2.27,22.25
2014-03-31,54.55,$2.05,26.61
2013-12-31,51.56,$2.03,25.4
2013-09-30,49.55,$1.97,25.15
2013-06-30,46.15,$1.74,26.52
2013-03-31,42.11,$1.69,24.92
2012-12-31,37.0,$1.70,21.77
2012-09-30,36.22,$1.66,21.82
2012-06-30,35.09,$1.71,20.52
2012-03-31,32.31,$1.56,20.71
2011-12-31,25.89,$1.47,17.61
2011-09-30,22.41,$1.44,15.56
2011-06-30,25.37,$1.39,18.25
2011-03-31,20.42,$1.25,16.34
2010-12-31,18.99,$1.14,16.66
2010-09-30,16.81,$1.10,15.28
2010-06-30,18.24,$0.46,39.66
2010-03-31,18.75,$0.40,46.87
2009-12-31,15.7,$0.39,40.27
