West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data,West Pharmaceutical Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,331.66,,43.75
2024-03-31,395.51,$7.58,52.18
2023-12-31,351.75,$7.88,44.64
2023-09-30,374.82,$7.41,50.58
2023-06-30,381.88,$6.86,55.67
2023-03-31,345.75,$7.28,47.49
2022-12-31,234.69,$7.72,30.4
2022-09-30,245.18,$8.29,29.58
2022-06-30,301.08,$9.01,33.42
2022-03-31,408.77,$9.00,45.42
2021-12-31,466.56,$8.70,53.63
2021-09-30,422.14,$8.06,52.38
2021-06-30,356.91,$6.84,52.18
2021-03-31,279.91,$5.58,50.16
2020-12-31,281.27,$4.58,61.41
2020-09-30,272.76,$4.13,66.04
2020-06-30,225.27,$3.79,59.44
2020-03-31,150.83,$3.46,43.59
2019-12-31,148.77,$3.20,46.49
2019-09-30,140.19,$3.05,45.96
2019-06-30,123.56,$3.03,40.78
2019-03-31,108.66,$2.90,37.47
2018-12-31,96.52,$2.75,35.1
2018-09-30,121.41,$2.06,58.94
2018-06-30,97.49,$2.00,48.75
2018-03-31,86.56,$1.76,49.18
2017-12-31,96.6,$1.99,48.54
2017-09-30,94.1,$2.51,37.49
2017-06-30,92.27,$2.34,39.43
2017-03-31,79.54,$2.43,32.73
2016-12-31,82.55,$1.92,43.0
2016-09-30,72.37,$1.85,39.12
2016-06-30,73.6,$1.37,53.72
2016-03-31,67.12,$1.15,58.37
2015-12-31,58.19,$1.30,44.76
2015-09-30,52.18,$1.28,40.76
2015-06-30,55.9,$1.69,33.08
2015-03-31,57.83,$1.83,31.6
2014-12-31,51.03,$1.76,28.99
2014-09-30,42.8,$1.66,25.78
2014-06-30,40.23,$1.60,25.14
2014-03-31,41.92,$1.51,27.76
2013-12-31,46.59,$1.58,29.49
2013-09-30,39.0,$1.55,25.16
2013-06-30,33.21,$1.40,23.8
2013-03-31,30.6,$1.19,25.71
2012-12-31,25.71,$1.15,22.45
2012-09-30,24.83,$1.12,22.27
2012-06-30,23.54,$1.15,20.56
2012-03-31,19.74,$1.21,16.38
2011-12-31,17.53,$1.08,16.23
2011-09-30,17.06,$0.90,18.95
2011-06-30,20.04,$0.91,22.03
2011-03-31,20.43,$0.94,21.85
2010-12-31,18.72,$0.94,19.92
2010-09-30,15.52,$1.15,13.55
2010-06-30,16.43,$1.14,14.41
2010-03-31,18.82,$1.12,16.88
2009-12-31,17.51,$1.06,16.52
