Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data,Eastman Chemical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,100.23,,13.38
2023-12-31,89.03,$7.49,11.89
2023-09-30,75.35,$4.89,15.41
2023-06-30,81.42,$5.86,13.89
2023-03-31,81.24,$5.62,14.46
2022-12-31,77.71,$6.30,12.33
2022-09-30,67.18,$9.10,7.38
2022-06-30,84.1,$9.21,9.13
2022-03-31,104.16,$6.11,17.05
2021-12-31,111.59,$6.30,17.71
2021-09-30,92.37,$3.72,24.83
2021-06-30,106.34,$2.33,45.64
2021-03-31,99.74,$3.60,27.71
2020-12-31,90.3,$3.50,25.8
2020-09-30,69.86,$3.46,20.19
2020-06-30,61.78,$4.21,14.67
2020-03-31,40.93,$5.86,6.98
2019-12-31,68.67,$5.46,12.58
2019-09-30,63.43,$5.51,11.51
2019-06-30,66.33,$4.97,13.35
2019-03-31,64.11,$6.01,10.67
2018-12-31,61.29,$6.91,8.87
2024-03-31,100.22,$8.67,11.56
2018-09-30,79.56,$11.29,7.05
2018-06-30,82.61,$10.62,7.78
2018-03-31,86.8,$10.23,8.48
2017-12-31,75.77,$10.12,7.49
2017-09-30,73.55,$6.98,10.54
2017-06-30,67.86,$6.32,10.74
2017-03-31,64.89,$6.03,10.76
2016-12-31,60.01,$5.83,10.29
2016-09-30,53.64,$5.79,9.26
2016-06-30,53.44,$5.94,9.0
2016-03-31,56.49,$6.21,9.1
2015-12-31,52.46,$5.66,9.27
2015-09-30,49.96,$4.94,10.11
2015-06-30,62.8,$4.62,13.59
2015-03-31,52.89,$4.57,11.57
2014-12-31,57.6,$4.95,11.64
2014-09-30,61.1,$7.06,8.65
2014-06-30,65.7,$7.64,8.6
2014-03-31,64.59,$7.40,8.73
2013-12-31,60.21,$5.53,10.89
2013-09-30,57.85,$4.30,13.45
2013-06-30,51.79,$3.60,14.39
2012-12-31,49.92,$3.03,16.47
2012-09-30,41.62,$4.09,10.18
2012-06-30,36.61,$4.67,7.84
2012-03-31,37.35,$4.56,8.19
2011-12-31,28.09,$4.90,5.74
2013-03-31,51.46,$5.71,9.02
2011-09-30,24.46,$4.26,5.74
2011-06-30,36.18,$4.27,8.48
2011-03-31,35.04,$3.82,9.17
2010-12-31,29.52,$2.99,9.89
2010-09-30,25.83,$2.64,9.78
2010-06-30,18.5,$2.17,8.54
2010-03-31,21.92,$1.60,13.7
2009-12-31,20.59,$0.93,22.14
