Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data,Consolidated Edison Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,94.43,,18.12
2024-03-31,90.04,$5.21,17.28
2023-12-31,89.34,$7.18,12.44
2023-09-30,83.25,$6.75,12.33
2023-06-30,87.19,$6.95,12.54
2023-03-31,91.5,$7.02,13.03
2022-12-31,90.35,$4.67,19.35
2022-09-30,80.59,$4.77,16.9
2022-06-30,88.67,$4.57,19.4
2022-03-31,87.55,$4.33,20.22
2021-12-31,78.14,$3.85,20.3
2021-09-30,65.82,$3.35,19.65
2021-06-30,64.39,$3.30,19.51
2021-03-31,66.49,$3.39,19.61
2020-12-31,63.54,$3.29,19.31
2020-09-30,67.74,$4.04,16.77
2020-06-30,61.99,$3.99,15.54
2020-03-31,66.51,$3.88,17.14
2019-12-31,76.52,$4.07,18.8
2019-09-30,79.22,$4.24,18.68
2019-06-30,72.91,$4.21,17.32
2019-03-31,69.91,$4.35,16.07
2018-12-31,62.44,$4.41,14.16
2018-09-30,61.66,$4.98,12.38
2018-06-30,62.54,$5.07,12.34
2018-03-31,61.92,$5.04,12.29
2017-12-31,66.87,$4.94,13.54
2017-09-30,63.02,$4.00,15.75
2017-06-30,62.6,$4.14,15.12
2017-03-31,59.64,$4.34,13.74
2016-12-31,56.06,$4.12,13.61
2016-09-30,56.75,$4.04,14.05
2016-06-30,60.09,$3.87,15.53
2016-03-31,56.73,$3.84,14.77
2015-12-31,47.14,$4.05,11.64
2015-09-30,48.53,$3.73,13.01
2015-06-30,41.61,$3.76,11.07
2015-03-31,43.39,$3.74,11.6
2014-12-31,46.48,$3.71,12.53
2014-09-30,39.51,$4.22,9.36
2014-06-30,39.81,$4.32,9.22
2014-03-31,36.57,$4.18,8.75
2013-12-31,37.25,$3.60,10.35
2013-09-30,36.76,$3.51,10.47
2013-06-30,38.47,$3.42,11.25
2013-03-31,39.86,$3.57,11.17
2012-12-31,35.88,$3.86,9.3
2012-09-30,38.28,$3.81,10.05
2012-06-30,39.37,$3.62,10.88
2012-03-31,36.61,$3.45,10.61
2011-12-31,38.47,$3.57,10.78
2011-09-30,35.0,$3.72,9.41
2011-06-30,32.33,$3.66,8.83
2011-03-31,30.46,$3.75,8.12
2010-12-31,29.41,$3.49,8.43
2010-09-30,28.27,$3.42,8.26
2010-06-30,24.95,$3.40,7.34
2010-03-31,25.44,$3.30,7.71
2009-12-31,25.59,$3.16,8.1
