Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data,Paramount Global PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,11.96,,0.0
2024-03-31,11.77,$-0.15,0.0
2023-12-31,14.72,$-1.02,0.0
2023-09-30,12.8,$-1.78,0.0
2023-06-30,15.74,$-1.88,0.0
2023-03-31,22.0,$-0.78,0.0
2022-12-31,16.44,$1.60,10.28
2022-09-30,18.32,$4.70,3.9
2022-06-30,23.49,$5.17,4.54
2022-03-31,35.65,$6.11,5.84
2021-12-31,28.27,$6.91,4.09
2021-09-30,36.71,$5.11,7.18
2021-06-30,41.74,$5.31,7.86
2021-03-31,41.41,$4.53,9.14
2020-12-31,34.13,$3.93,8.68
2020-09-30,25.48,$2.20,11.58
2020-06-30,21.04,$2.05,10.26
2020-03-31,12.51,$2.44,5.13
2019-12-31,36.94,$5.81,6.36
2019-09-30,35.33,$7.72,4.58
2019-06-30,43.49,$8.16,5.33
2019-03-31,41.27,$8.04,5.13
2018-12-31,37.82,$5.15,7.34
2018-09-30,49.52,$3.56,13.91
2018-06-30,48.31,$3.73,12.95
2018-03-31,44.0,$2.82,15.6
2017-12-31,50.35,$0.89,56.57
2017-09-30,49.34,$0.73,67.59
2017-06-30,54.09,$0.34,159.1
2017-03-31,58.65,$1.13,51.91
2016-12-31,53.66,$2.76,19.44
2016-09-30,46.04,$3.57,12.9
2016-06-30,45.63,$3.38,13.5
2016-03-31,46.04,$3.12,14.76
2015-12-31,39.28,$2.88,13.64
2015-09-30,33.15,$3.12,10.62
2015-06-30,45.95,$5.27,8.72
2015-03-31,50.08,$5.36,9.34
2014-12-31,45.59,$5.36,8.51
2014-09-30,43.95,$5.33,8.25
2014-06-30,50.92,$3.10,16.43
2014-03-31,50.54,$3.10,16.3
2013-12-31,52.04,$3.01,17.29
2013-09-30,44.94,$2.85,15.77
2013-06-30,39.73,$2.65,14.99
2013-03-31,37.86,$2.54,14.91
2012-12-31,30.77,$2.39,12.88
2012-09-30,29.28,$2.34,12.51
2012-06-30,26.34,$2.24,11.76
2012-03-31,27.16,$2.17,12.52
2011-12-31,21.67,$1.92,11.28
2011-09-30,16.21,$1.78,9.11
2011-06-30,22.56,$1.74,12.97
2011-03-31,19.76,$1.38,14.32
2010-12-31,15.0,$1.05,14.28
2010-09-30,12.45,$0.73,17.06
2010-06-30,10.12,$0.57,17.75
2010-03-31,10.87,$0.37,29.37
2009-12-31,10.92,$0.33,33.08
