Etsy PE Ratio Historical Data,Etsy PE Ratio Historical Data,Etsy PE Ratio Historical Data,Etsy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,60.62,,27.68
2024-03-31,68.72,$2.19,31.38
2023-12-31,81.05,$2.24,36.18
2023-09-30,64.58,$2.39,27.02
2023-06-30,84.61,$-5.87,0.0
2023-03-31,111.33,$-5.81,0.0
2022-12-31,119.78,$-5.74,0.0
2022-09-30,100.13,$-5.40,0.0
2022-06-30,73.21,$2.84,25.78
2022-03-31,124.28,$3.01,41.29
2021-12-31,218.94,$3.41,64.21
2021-09-30,207.96,$3.38,61.53
2021-06-30,205.84,$3.46,59.49
2021-03-31,201.67,$3.53,57.13
2020-12-31,177.91,$2.63,67.65
2020-09-30,121.63,$1.80,67.57
2020-06-30,106.23,$1.22,87.07
2020-03-31,38.44,$0.61,63.02
2019-12-31,44.3,$0.75,59.07
2019-09-30,56.5,$0.82,68.9
2019-06-30,61.37,$0.85,72.2
2019-03-31,67.22,$0.74,90.84
2018-12-31,47.57,$0.60,79.28
2018-09-30,51.38,$0.64,80.28
2018-06-30,42.19,$0.70,60.27
2018-03-31,28.06,$0.77,36.44
2017-12-31,20.45,$0.67,30.52
2017-09-30,16.88,$0.12,140.67
2017-06-30,15.0,$-0.11,0.0
2017-03-31,10.63,$-0.27,0.0
2016-12-31,11.78,$-0.26,0.0
2016-09-30,14.28,$-0.11,0.0
2016-06-30,9.59,$-0.15,0.0
2016-03-31,8.7,$-0.16,0.0
