Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,69.1,,16.94
2024-03-31,78.55,$4.08,19.25
2023-12-31,66.44,$4.01,16.57
2023-09-30,53.02,$3.67,14.45
2023-06-30,56.64,$3.54,16.0
2023-03-31,48.8,$3.57,13.67
2022-12-31,45.56,$3.64,12.52
2022-09-30,45.3,$3.68,12.31
2022-06-30,48.85,$3.60,13.57
2022-03-31,48.99,$2.27,21.58
2021-12-31,67.12,$1.64,40.92
2021-09-30,52.9,$1.83,28.91
2021-06-30,55.89,$1.99,28.09
2021-03-31,56.61,$2.98,19.0
2020-12-31,51.78,$4.56,11.36
2020-09-30,51.84,$5.41,9.58
2020-06-30,47.09,$4.80,9.81
2020-03-31,32.31,$4.77,6.77
2019-12-31,44.73,$3.24,13.81
2019-09-30,38.72,$2.29,16.91
2019-06-30,36.34,$2.43,14.96
2019-03-31,36.3,$2.29,15.85
2018-12-31,26.9,$2.37,11.35
2018-09-30,33.55,$2.00,16.77
2018-06-30,34.21,$1.88,18.19
2018-03-31,36.87,$1.69,21.82
2017-12-31,39.97,$1.65,24.22
2017-09-30,35.39,$1.68,21.07
2017-06-30,34.58,$1.62,21.34
2017-03-31,30.66,$1.58,19.41
2016-12-31,28.44,$1.47,19.35
2016-09-30,30.77,$1.39,22.13
2016-06-30,27.66,$1.31,21.11
2016-03-31,28.03,$1.16,24.17
2015-12-31,25.14,$1.02,24.64
2015-09-30,22.29,$1.08,20.64
2015-06-30,20.8,$2.27,9.16
2015-03-31,20.75,$2.36,8.79
2014-12-31,19.52,$2.39,8.17
2014-09-30,18.45,$2.23,8.28
2014-06-30,17.13,$1.01,16.96
2014-03-31,17.01,$0.83,20.49
2013-12-31,17.38,$0.75,23.17
2013-09-30,16.18,$0.38,42.58
2013-06-30,14.76,$0.13,113.57
2013-03-31,15.28,$-0.30,0.0
2012-12-31,12.52,$-0.34,0.0
2012-09-30,11.25,$-1.74,0.0
2012-06-30,10.31,$-1.68,0.0
2012-03-31,9.88,$-1.44,0.0
2011-12-31,7.69,$-1.66,0.0
2011-09-30,5.18,$-2.97,0.0
2011-06-30,8.69,$-3.09,0.0
2011-03-31,10.0,$-3.10,0.0
2010-12-31,9.05,$-2.99,0.0
2010-09-30,7.82,$-0.56,0.0
2010-06-30,7.59,$-0.46,0.0
2010-03-31,10.9,$-0.32,0.0
2009-12-31,9.65,$-0.53,0.0
