Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data,Microchip Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.23,,28.31
2024-03-31,89.29,$3.47,25.73
2023-12-31,89.28,$4.28,20.86
2023-09-30,76.86,$4.55,16.89
2023-06-30,87.78,$4.32,20.32
2023-03-31,81.68,$4.01,20.37
2022-12-31,68.2,$3.69,18.48
2022-09-30,58.98,$3.27,18.04
2022-06-30,55.9,$2.72,20.55
2022-03-31,72.02,$2.27,31.79
2021-12-31,83.15,$1.70,48.91
2021-09-30,73.09,$1.15,63.84
2021-06-30,71.09,$0.85,83.64
2021-03-31,73.49,$0.65,113.94
2020-12-31,65.23,$0.64,102.73
2020-09-30,48.4,$1.17,41.36
2020-06-30,49.42,$1.25,39.54
2020-03-31,31.69,$1.11,28.55
2019-12-31,48.79,$1.27,38.57
2019-09-30,43.11,$0.77,56.35
2019-06-30,40.06,$0.74,54.14
2019-03-31,38.16,$0.71,53.75
2018-12-31,32.95,$0.65,50.69
2018-09-30,35.97,$0.02,2398.02
2018-06-30,41.28,$0.21,196.55
2018-03-31,41.3,$0.49,84.29
2017-12-31,39.56,$0.49,81.56
2017-09-30,40.25,$1.25,32.2
2017-06-30,34.45,$0.94,36.85
2017-03-31,32.79,$0.32,102.46
2016-12-31,28.36,$0.19,149.28
2016-09-30,27.32,$0.10,273.25
2016-06-30,22.19,$0.18,123.28
2016-03-31,20.91,$0.75,28.07
2015-12-31,20.02,$0.82,24.57
2015-09-30,18.4,$0.87,21.15
2015-06-30,20.09,$0.93,21.6
2015-03-31,20.56,$0.83,24.77
2014-12-31,18.83,$0.86,22.03
2014-09-30,19.56,$0.90,21.73
2014-06-30,20.06,$0.92,21.8
2014-03-31,19.48,$0.91,21.52
2013-12-31,18.11,$0.80,22.78
2013-09-30,16.17,$0.58,27.87
2013-06-30,14.81,$0.30,50.21
2013-03-31,14.48,$0.31,47.49
2012-12-31,12.72,$0.36,35.32
2012-09-30,12.63,$0.53,24.05
2012-06-30,12.63,$0.78,16.19
2012-03-31,14.05,$0.83,16.92
2011-12-31,13.7,$0.95,14.5
2011-09-30,11.52,$1.01,11.41
2011-06-30,13.89,$1.08,12.86
2011-03-31,13.8,$1.07,12.9
2010-12-31,12.42,$0.96,12.94
2010-09-30,11.19,$0.89,12.58
2010-06-30,9.76,$0.74,13.19
2010-03-31,9.79,$0.58,16.87
2009-12-31,9.97,$0.44,22.66
