Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data,Zoetis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,170.07,,33.54
2023-12-31,196.37,$5.07,38.73
2023-09-30,172.69,$4.92,35.1
2023-06-30,170.56,$4.94,34.53
2023-03-31,164.49,$4.62,35.6
2022-12-31,144.5,$4.55,31.76
2024-03-31,168.73,$4.82,35.01
2022-09-30,145.9,$4.38,33.31
2022-06-30,168.81,$4.41,38.28
2022-03-31,184.89,$4.36,42.41
2021-12-31,238.85,$4.27,55.94
2021-09-30,189.8,$4.15,45.73
2021-06-30,181.96,$3.99,45.6
2021-03-31,153.54,$3.71,41.38
2020-12-31,161.11,$3.42,47.11
2020-09-30,160.78,$3.47,46.33
2020-06-30,133.05,$3.37,39.48
2020-03-31,114.08,$3.35,34.06
2019-12-31,128.11,$3.12,41.06
2019-09-30,120.44,$3.03,39.75
2019-06-30,109.56,$2.84,38.58
2019-03-31,97.02,$2.86,33.92
2018-12-31,82.28,$2.93,28.08
2018-09-30,87.94,$2.38,36.95
2018-06-30,81.71,$2.28,35.84
2018-03-31,79.98,$1.99,40.19
2017-12-31,68.88,$1.75,39.36
2017-09-30,60.87,$1.90,32.04
2017-06-30,59.55,$1.77,33.65
2017-03-31,50.76,$1.72,29.51
2016-12-31,50.82,$1.65,30.8
2016-09-30,49.27,$1.38,35.71
2016-06-30,44.96,$1.28,35.13
2016-03-31,41.82,$0.76,55.03
2015-12-31,45.11,$0.68,66.34
2015-09-30,38.7,$0.89,43.48
2015-06-30,45.24,$0.84,53.85
2015-03-31,43.35,$1.18,36.74
2014-12-31,40.22,$1.16,34.67
2014-09-30,34.47,$1.12,30.78
2014-06-30,30.04,$1.05,28.61
2014-03-31,26.88,$1.04,25.84
2013-12-31,30.29,$1.01,29.99
