NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data,NiSource PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,28.04,,18.33
2024-03-31,27.4,$1.53,17.91
2023-12-31,26.03,$1.47,17.71
2023-09-30,23.96,$1.49,16.08
2023-06-30,26.31,$1.44,18.27
2023-03-31,26.67,$1.47,18.14
2022-12-31,25.91,$1.70,15.24
2022-09-30,23.59,$1.54,15.32
2022-06-30,27.41,$1.54,17.8
2022-03-31,29.32,$1.53,19.17
2021-12-31,25.25,$1.31,19.28
2021-09-30,21.97,$1.13,19.44
2021-06-30,22.02,$0.52,42.34
2021-03-31,21.48,$0.36,59.68
2020-12-31,20.24,$-0.20,0.0
2020-09-30,19.24,$-0.79,0.0
2020-06-30,19.71,$-0.32,0.0
2020-03-31,21.47,$0.48,44.74
2019-12-31,23.78,$0.87,27.33
2019-09-30,25.37,$1.23,20.62
2019-06-30,24.25,$0.30,80.84
2019-03-31,23.96,$-0.38,0.0
2018-12-31,21.04,$-0.12,0.0
2018-09-30,20.52,$-0.23,0.0
2018-06-30,21.48,$0.76,28.26
2018-03-31,19.39,$0.55,35.25
2017-12-31,20.64,$0.39,52.92
2017-09-30,20.44,$0.82,24.92
2017-06-30,20.12,$0.86,23.4
2017-03-31,18.74,$1.09,17.19
2016-12-31,17.3,$1.00,17.3
2016-09-30,18.7,$0.92,20.33
2016-06-30,20.44,$0.82,24.93
2016-03-31,18.04,$0.62,29.09
2015-12-31,14.83,$0.91,16.29
2015-09-30,13.98,$1.21,11.56
2015-06-30,13.17,$1.33,9.9
2015-03-31,12.68,$1.69,7.5
2014-12-31,12.11,$1.69,7.17
2014-09-30,11.63,$1.68,6.92
2014-06-30,11.09,$1.74,6.37
2014-03-31,9.95,$1.72,5.78
2013-12-31,9.14,$1.70,5.37
2013-09-30,8.52,$1.65,5.16
2013-06-30,7.83,$1.55,5.05
2013-03-31,7.96,$1.55,5.14
2012-12-31,6.7,$1.38,4.85
2012-09-30,6.79,$1.00,6.79
2012-06-30,6.53,$1.06,6.16
2012-03-31,6.37,$0.97,6.57
2011-12-31,6.17,$1.03,5.99
2011-09-30,5.48,$1.10,4.98
2011-06-30,5.13,$1.10,4.67
2011-03-31,4.8,$1.06,4.53
2010-12-31,4.36,$1.05,4.15
2010-09-30,4.25,$1.25,3.4
2010-06-30,3.49,$1.07,3.26
2010-03-31,3.75,$0.95,3.95
2009-12-31,3.6,$0.78,4.61
