Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data,Coterra Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,27.13,,12.68
2023-12-31,25.13,$2.14,11.74
2023-09-30,26.44,$2.91,9.09
2023-06-30,24.55,$2.95,8.32
2023-03-31,23.63,$4.18,5.65
2022-12-31,23.08,$4.83,4.78
2024-03-31,27.67,$4.26,6.5
2022-09-30,23.95,$4.95,4.84
2022-06-30,23.12,$3.60,6.42
2022-03-31,23.69,$2.15,11.02
2021-12-31,16.34,$1.72,9.5
2021-09-30,18.01,$0.89,20.24
2021-06-30,14.36,$0.77,18.64
2021-03-31,15.34,$0.77,19.93
2020-12-31,13.23,$0.59,22.42
2020-09-30,14.03,$0.62,22.62
2020-06-30,13.81,$0.80,17.26
2020-03-31,13.75,$1.15,11.95
2019-12-31,13.83,$1.63,8.49
2019-09-30,13.88,$1.91,7.27
2019-06-30,18.14,$1.97,9.21
2019-03-31,20.55,$1.63,12.61
2018-12-31,17.55,$1.27,13.82
2018-09-30,17.63,$0.53,33.27
2018-06-30,18.59,$0.29,64.1
2018-03-31,18.68,$0.25,74.72
2017-12-31,22.23,$0.22,101.06
2017-09-30,20.76,$-0.31,0.0
2017-06-30,19.42,$-0.37,0.0
2017-03-31,18.48,$-0.56,0.0
2016-12-31,18.04,$-0.91,0.0
2016-09-30,19.9,$-0.55,0.0
2016-06-30,19.84,$-0.57,0.0
2016-03-31,17.49,$-0.50,0.0
2015-12-31,13.61,$-0.28,0.0
2015-09-30,16.8,$-0.55,0.0
2015-06-30,24.22,$-0.27,0.0
2015-03-31,22.67,$0.08,283.34
2014-12-31,22.71,$0.24,94.63
2014-09-30,25.06,$0.97,25.83
2014-06-30,26.15,$0.90,29.06
2014-03-31,25.94,$0.83,31.25
2013-12-31,29.66,$0.67,44.27
2013-09-30,28.54,$0.58,49.64
2013-06-30,27.15,$0.49,55.4
2013-03-31,25.83,$0.45,57.41
2012-12-31,19.0,$0.44,43.18
2012-09-30,17.14,$0.41,41.81
2012-06-30,15.04,$0.39,38.31
2012-03-31,11.89,$0.35,33.73
2011-12-31,14.47,$0.29,49.46
2011-09-30,11.8,$0.35,34.19
2011-06-30,12.63,$0.35,36.34
2011-03-31,10.08,$0.31,33.05
2010-12-31,7.2,$0.37,19.46
2010-03-31,6.98,$0.32,22.16
2009-12-31,8.26,$0.36,22.95
2009-09-30,6.77,$0.28,23.96
2009-06-30,5.8,$0.24,24.16
