Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data,Morgan Stanley PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,98.97,,18.03
2024-03-31,93.3,$5.49,16.99
2023-12-31,91.51,$5.17,17.7
2023-09-30,79.19,$5.58,14.19
2023-06-30,82.05,$5.67,14.47
2023-03-31,83.63,$5.82,14.37
2022-12-31,80.34,$6.14,13.08
2022-09-30,73.96,$6.89,10.73
2022-06-30,70.54,$7.40,9.53
2022-03-31,80.38,$7.86,10.23
2021-12-31,89.66,$8.03,11.17
2021-09-30,88.28,$7.83,11.27
2021-06-30,82.58,$7.51,11.0
2021-03-31,69.65,$7.62,9.14
2020-12-31,61.16,$6.44,9.5
2020-09-30,42.84,$5.93,7.22
2020-06-30,42.49,$5.54,7.67
2020-03-31,29.65,$4.81,6.17
2019-12-31,44.3,$5.19,8.54
2019-09-30,36.7,$4.69,7.82
2019-06-30,37.39,$4.59,8.15
2019-03-31,35.79,$4.66,7.68
2018-12-31,33.39,$4.72,7.07
2018-09-30,38.96,$4.21,9.25
2018-06-30,39.42,$3.97,9.93
2018-03-31,44.66,$3.54,12.62
2017-12-31,43.24,$3.09,13.99
2017-09-30,39.5,$3.61,10.94
2017-06-30,36.35,$3.49,10.41
2017-03-31,34.78,$3.37,10.32
2016-12-31,34.15,$2.92,11.69
2016-09-30,25.76,$2.50,10.3
2016-06-30,20.73,$2.17,9.55
2016-03-31,19.85,$2.27,8.74
2015-12-31,25.1,$2.90,8.65
2015-09-30,24.74,$2.98,8.3
2015-06-30,30.35,$3.34,9.09
2015-03-31,27.81,$3.43,8.11
2014-12-31,30.15,$2.99,10.08
2014-09-30,26.78,$2.59,10.34
2014-06-30,24.97,$2.20,11.35
2014-03-31,24.0,$1.67,14.37
2013-12-31,24.1,$1.42,16.97
2013-09-30,20.68,$1.60,12.92
2013-06-30,18.71,$0.60,31.18
2013-03-31,16.79,$0.48,34.99
2012-12-31,14.58,$-0.07,0.0
2012-09-30,12.73,$-0.47,0.0
2012-06-30,11.05,$1.23,8.98
2012-03-31,14.83,$0.56,26.49
2011-12-31,11.4,$1.12,10.18
2011-09-30,10.15,$1.68,6.04
2011-06-30,17.25,$0.46,37.5
2011-03-31,20.44,$1.93,10.59
2010-12-31,20.32,$2.42,8.4
2010-09-30,18.4,$2.30,8.0
2010-06-30,17.27,$2.75,6.28
2010-03-31,21.76,$0.56,38.85
2009-12-31,21.95,$-1.00,0.0
