Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data,Regency Centers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,59.29,,28.92
2024-03-31,60.56,$2.05,29.54
2023-12-31,66.27,$2.04,32.48
2023-09-30,58.21,$2.13,27.33
2023-06-30,59.87,$2.14,27.98
2023-03-31,58.67,$2.25,26.07
2022-12-31,59.29,$2.82,21.03
2022-09-30,50.57,$2.65,19.08
2022-06-30,55.11,$2.83,19.47
2022-03-31,65.56,$2.78,23.58
2021-12-31,68.59,$2.11,32.51
2021-09-30,60.76,$1.95,31.16
2021-06-30,57.32,$1.33,43.09
2021-03-31,50.28,$0.88,57.14
2020-12-31,40.02,$0.26,153.93
2020-09-30,32.97,$0.27,122.1
2020-06-30,39.24,$0.54,72.67
2020-03-31,32.34,$0.74,43.7
2019-12-31,52.6,$1.43,36.78
2019-09-30,57.42,$1.65,34.8
2019-06-30,54.65,$1.72,31.77
2019-03-31,54.78,$1.69,32.41
2018-12-31,47.21,$1.46,32.33
2018-09-30,51.58,$1.50,34.39
2018-06-30,49.09,$1.44,34.09
2018-03-31,46.18,$1.44,32.07
2017-12-31,53.65,$0.87,61.67
2017-09-30,47.74,$0.90,53.04
2017-06-30,47.82,$0.60,79.69
2017-03-31,50.24,$0.67,74.98
2016-12-31,51.8,$1.42,36.48
2016-09-30,57.8,$1.07,54.02
2016-06-30,62.07,$1.59,39.03
2016-03-31,55.13,$1.58,34.89
2015-12-31,49.82,$1.36,36.63
2015-09-30,45.12,$1.97,22.9
2015-06-30,42.5,$1.92,22.13
2015-03-31,48.66,$1.86,26.16
2014-12-31,45.28,$1.80,25.16
2014-09-30,37.92,$1.51,25.11
2014-06-30,38.9,$1.37,28.4
2014-03-31,35.36,$1.44,24.56
2013-12-31,31.77,$1.40,22.69
2013-09-30,32.86,$0.49,67.06
2013-06-30,34.22,$0.24,142.6
2013-03-31,35.35,$-0.05,0.0
2012-12-31,31.2,$-0.08,0.0
2012-09-30,31.95,$0.42,76.08
2012-06-30,30.89,$0.38,81.3
2012-03-31,28.6,$0.46,62.18
2011-12-31,23.93,$0.34,70.39
2011-09-30,22.2,$-0.19,0.0
2011-06-30,27.31,$-0.16,0.0
2011-03-31,26.73,$-0.22,0.0
2010-12-31,25.69,$-0.09,0.0
2010-09-30,23.74,$0.66,35.98
2010-06-30,20.44,$-0.51,0.0
2010-03-31,21.99,$-0.82,0.0
2009-12-31,20.29,$-0.69,0.0
