Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data,Elevance Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,521.41,,19.71
2024-03-31,518.54,$26.46,19.6
2023-12-31,470.03,$25.17,18.67
2023-09-30,432.68,$25.47,16.99
2023-06-30,440.05,$26.70,16.48
2023-03-31,453.98,$25.70,17.66
2022-12-31,504.84,$24.79,20.36
2022-09-30,445.95,$25.49,17.5
2022-06-30,472.54,$24.94,18.95
2022-03-31,479.74,$25.40,18.89
2021-12-31,451.46,$24.72,18.26
2021-09-30,362.06,$22.28,16.25
2021-06-30,369.68,$17.02,21.72
2021-03-31,346.54,$18.68,18.55
2020-12-31,308.94,$17.91,17.25
2020-09-30,257.67,$19.34,13.32
2020-06-30,251.4,$23.02,10.92
2020-03-31,216.33,$18.47,11.71
2019-12-31,286.78,$18.44,15.55
2019-09-30,227.34,$16.43,13.84
2019-06-30,266.37,$15.50,17.18
2019-03-31,270.09,$15.12,17.86
2018-12-31,246.52,$14.20,17.36
2018-09-30,257.24,$17.26,14.9
2018-06-30,222.82,$16.44,13.55
2018-03-31,204.99,$15.62,13.12
2017-12-31,209.26,$14.36,14.57
2017-09-30,176.04,$11.06,15.92
2017-06-30,173.78,$10.56,16.46
2017-03-31,152.24,$10.31,14.77
2016-12-31,131.83,$9.21,14.31
2016-09-30,114.39,$8.52,13.43
2016-06-30,119.28,$8.65,13.79
2016-03-31,125.62,$8.87,14.16
2015-12-31,125.41,$9.33,13.44
2015-09-30,125.33,$10.45,11.99
2015-06-30,146.31,$10.24,14.29
2015-03-31,137.11,$9.67,14.18
2014-12-31,111.11,$8.98,12.37
2014-09-30,105.41,$7.67,13.74
2014-06-30,94.47,$7.61,12.41
2014-03-31,87.04,$7.69,11.32
2013-12-31,80.39,$8.18,9.83
2013-09-30,72.45,$9.20,7.88
2013-06-30,70.61,$9.19,7.68
2013-03-31,56.87,$8.49,6.7
2012-12-31,52.0,$8.13,6.4
2012-09-30,49.26,$7.58,6.5
2012-06-30,53.91,$7.33,7.35
2012-03-31,62.1,$7.28,8.53
2011-12-31,55.5,$7.19,7.72
2011-09-30,54.49,$7.63,7.14
2011-06-30,65.49,$7.57,8.65
2011-03-31,57.83,$7.39,7.83
2010-12-31,46.95,$6.91,6.79
2010-09-30,46.76,$11.46,4.08
2010-06-30,40.4,$11.15,3.62
2010-03-31,53.15,$10.87,4.89
2009-12-31,48.13,$10.07,4.78
