CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data,CMS Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,61.43,,18.73
2024-03-31,59.85,$3.28,18.25
2023-12-31,57.07,$3.01,18.96
2023-09-30,51.74,$2.54,20.37
2023-06-30,56.76,$2.50,22.7
2023-03-31,58.83,$2.33,25.25
2022-12-31,60.23,$2.85,21.13
2022-09-30,54.94,$4.47,12.29
2022-06-30,63.25,$4.55,13.9
2022-03-31,65.1,$4.66,13.97
2021-12-31,60.1,$4.66,12.9
2021-09-30,54.79,$3.01,18.2
2021-06-30,53.82,$3.13,17.2
2021-03-31,55.4,$3.00,18.47
2020-12-31,54.79,$2.64,20.75
2020-09-30,54.8,$2.68,20.45
2020-06-30,51.79,$2.65,19.54
2020-03-31,51.7,$2.50,20.68
2019-12-31,54.96,$2.40,22.9
2019-09-30,55.6,$2.19,25.39
2019-06-30,50.03,$2.05,24.4
2019-03-31,47.64,$2.21,21.56
2018-12-31,42.28,$2.32,18.22
2018-09-30,41.42,$1.93,21.46
2018-06-30,39.67,$1.95,20.34
2018-03-31,37.71,$1.79,21.07
2017-12-31,39.07,$1.64,23.82
2017-09-30,38.0,$1.93,19.69
2017-06-30,37.67,$1.99,18.93
2017-03-31,36.17,$2.11,17.14
2016-12-31,33.39,$1.99,16.78
2016-09-30,33.45,$2.09,16.0
2016-06-30,36.26,$1.95,18.59
2016-03-31,33.3,$1.75,19.03
2015-12-31,28.09,$1.89,14.86
2015-09-30,27.28,$1.86,14.67
2015-06-30,24.38,$1.67,14.6
2015-03-31,26.5,$1.72,15.41
2014-12-31,26.17,$1.74,15.04
2014-09-30,22.16,$1.76,12.59
2014-06-30,23.06,$1.88,12.27
2014-03-31,21.48,$1.87,11.49
2013-12-31,19.45,$1.65,11.79
2013-09-30,18.94,$1.53,12.38
2013-06-30,19.38,$1.62,11.96
2013-03-31,19.76,$1.70,11.62
2012-12-31,17.07,$1.42,12.02
2012-09-30,16.33,$1.32,12.37
2012-06-30,16.13,$1.30,12.41
2012-03-31,14.95,$1.31,11.41
2011-12-31,14.84,$1.58,9.39
2011-09-30,13.16,$1.52,8.66
2011-06-30,12.95,$1.52,8.52
2011-03-31,12.78,$1.46,8.75
2010-12-31,11.98,$1.28,9.36
2010-09-30,11.47,$1.21,9.48
2010-06-30,9.24,$0.99,9.33
2010-03-31,9.66,$0.99,9.75
2009-12-31,9.68,$0.95,10.19
