PPL PE Ratio Historical Data,PPL PE Ratio Historical Data,PPL PE Ratio Historical Data,PPL PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,28.68,,27.84
2024-03-31,27.53,$1.03,26.73
2023-12-31,26.84,$1.00,26.84
2023-09-30,23.12,$1.11,20.83
2023-06-30,25.72,$1.04,24.73
2023-03-31,26.77,$1.05,25.5
2022-12-31,27.9,$1.03,27.08
2022-09-30,24.02,$0.95,25.28
2022-06-30,25.51,$0.98,26.03
2022-03-31,26.62,$0.85,31.31
2021-12-31,27.81,$-1.91,0.0
2021-09-30,25.42,$-1.71,0.0
2021-06-30,25.15,$-1.61,0.0
2021-03-31,25.57,$-1.19,0.0
2020-12-31,24.63,$1.92,12.83
2020-09-30,23.43,$2.02,11.6
2020-06-30,21.92,$2.30,9.53
2020-03-31,20.63,$2.45,8.42
2019-12-31,29.58,$2.37,12.48
2019-09-30,25.64,$2.46,10.42
2019-06-30,24.9,$2.43,10.25
2019-03-31,25.15,$2.56,9.83
2018-12-31,22.17,$2.03,10.92
2018-09-30,22.6,$1.97,11.47
2018-06-30,21.75,$1.78,12.22
2017-12-31,22.87,$1.64,13.94
2017-09-30,27.73,$2.21,12.55
2017-06-30,27.96,$2.35,11.9
2017-03-31,26.78,$2.61,10.26
2016-12-31,24.12,$2.73,8.84
2018-03-31,21.21,$2.76,7.68
2016-09-30,24.21,$2.70,8.97
2016-06-30,26.15,$2.59,10.1
2016-03-31,26.12,$0.75,34.82
2015-12-31,23.17,$1.00,23.17
2015-09-30,22.08,$1.45,15.23
2015-06-30,19.53,$1.61,12.13
2015-03-31,20.55,$3.08,6.67
2014-12-31,21.93,$2.61,8.4
2014-09-30,19.61,$1.41,13.91
2014-06-30,20.99,$1.29,16.27
2014-03-31,19.37,$1.58,12.26
2013-12-31,17.38,$1.74,9.99
2013-09-30,17.33,$2.50,6.93
2013-06-30,17.06,$2.49,6.85
2013-03-31,17.43,$2.32,7.51
2012-12-31,15.75,$2.60,6.06
2012-09-30,15.78,$2.78,5.68
2012-06-30,14.93,$2.93,5.09
2012-03-31,14.97,$2.82,5.31
2011-12-31,15.39,$2.71,5.68
2011-09-30,14.75,$2.66,5.55
2011-06-30,14.21,$2.41,5.9
2011-03-31,12.75,$2.28,5.59
2010-12-31,13.09,$2.12,6.17
2010-09-30,13.36,$1.79,7.46
2010-06-30,12.08,$1.33,9.08
2010-03-31,13.24,$1.09,12.14
2009-12-31,15.25,$1.07,14.25
