FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data,FactSet Research Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,436.04,,34.52
2024-02-29,462.58,$12.63,36.63
2023-11-30,452.51,$12.36,36.61
2023-08-31,434.56,$12.04,36.09
2023-05-31,382.39,$13.05,29.3
2023-02-28,410.83,$11.52,35.66
2022-11-30,456.18,$10.98,41.55
2022-08-31,427.69,$10.25,41.73
2022-05-31,376.04,$10.19,36.9
2022-02-28,399.07,$10.88,36.68
2021-11-30,459.54,$10.54,43.6
2021-08-31,372.25,$10.37,35.9
2021-05-31,326.64,$10.03,32.57
2021-02-28,296.16,$10.04,29.5
2020-11-30,324.41,$9.84,32.97
2020-08-31,339.77,$9.65,35.21
2020-05-31,297.53,$9.70,30.67
2020-02-29,256.71,$9.44,27.19
2019-11-30,249.94,$9.33,26.79
2019-08-31,261.2,$9.07,28.8
2019-05-31,266.35,$8.50,31.34
2019-02-28,224.58,$8.04,27.93
2018-11-30,223.32,$7.18,31.1
2018-08-31,218.46,$6.78,32.22
2018-05-31,190.89,$6.53,29.23
2018-02-28,192.34,$6.30,30.53
2017-11-30,188.7,$6.63,28.46
2017-08-31,147.97,$8.41,17.59
2017-02-28,166.3,$8.51,19.54
2016-11-30,149.32,$8.46,17.65
2016-08-31,165.45,$8.23,20.1
2016-05-31,147.42,$6.16,23.93
2016-02-29,139.02,$5.99,23.21
2015-11-30,156.16,$5.82,26.83
2015-08-31,145.09,$5.71,25.41
2015-05-31,151.33,$5.54,27.32
2015-02-28,142.14,$5.75,24.72
2014-11-30,124.94,$5.50,22.72
2014-08-31,115.8,$5.40,21.44
2017-05-31,155.42,$5.28,29.44
2014-05-31,97.09,$4.78,20.31
2014-02-28,95.07,$4.77,19.93
2013-11-30,101.69,$4.55,22.35
2013-08-31,91.82,$4.47,20.54
2013-05-31,87.79,$4.39,20.0
2013-02-28,86.68,$4.24,20.44
2012-11-30,82.05,$4.26,19.26
2012-08-31,81.67,$4.14,19.73
2012-05-31,93.01,$3.94,23.61
2012-02-29,76.88,$3.81,20.18
2011-11-30,81.76,$3.74,21.86
2011-08-31,76.86,$3.63,21.17
2011-05-31,96.63,$3.58,26.99
2011-02-28,91.19,$3.47,26.28
2010-11-30,76.92,$3.27,23.52
2010-08-31,63.64,$3.13,20.33
2010-05-31,58.7,$3.04,19.31
2010-02-28,56.91,$3.02,18.84
2009-11-30,62.01,$2.98,20.81
