Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data,Everest Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,391.78,,5.82
2024-03-31,397.5,$67.29,5.91
2023-12-31,351.99,$59.73,5.89
2023-09-30,368.41,$53.86,6.84
2023-06-30,337.33,$30.01,11.24
2023-03-31,351.62,$16.86,20.86
2022-12-31,323.77,$15.11,21.43
2022-09-30,255.21,$13.39,19.06
2022-06-30,270.92,$19.73,13.73
2022-03-31,289.58,$33.57,8.63
2021-12-31,261.74,$34.53,7.58
2021-09-30,238.18,$25.18,9.46
2021-06-30,238.0,$33.13,7.18
2021-03-31,232.61,$20.95,11.1
2020-12-31,218.4,$12.84,17.01
2020-09-30,183.07,$16.57,11.05
2020-06-30,189.75,$13.06,14.53
2020-03-31,175.73,$16.68,10.54
2019-12-31,251.2,$24.81,10.13
2019-09-30,240.05,$9.99,24.03
2019-06-30,221.7,$12.45,17.81
2019-03-31,192.6,$5.76,33.44
2018-12-31,194.2,$2.33,83.35
2018-09-30,202.43,$25.68,7.88
2018-06-30,203.02,$4.93,41.18
2018-03-31,224.92,$9.18,24.5
2017-12-31,192.8,$11.14,17.31
2017-09-30,197.87,$6.37,31.06
2017-06-30,219.46,$25.77,8.52
2017-03-31,200.54,$23.82,8.42
2016-12-31,184.61,$25.01,7.38
2016-06-30,153.99,$17.93,8.59
2016-03-31,165.37,$18.94,8.73
2015-12-31,152.45,$22.13,6.89
2015-09-30,143.44,$20.93,6.85
2015-06-30,149.78,$26.40,5.67
2015-03-31,142.44,$27.72,5.14
2016-09-30,161.1,$26.79,6.01
2014-12-31,138.67,$25.94,5.35
2014-09-30,131.2,$26.01,5.04
2014-06-30,129.37,$24.82,5.21
2014-03-31,122.79,$24.12,5.09
2013-12-31,124.43,$25.41,4.9
2013-09-30,115.52,$19.00,6.08
2013-06-30,101.55,$19.01,5.34
2013-03-31,102.43,$17.53,5.84
2012-12-31,86.4,$15.71,5.5
2012-09-30,83.66,$15.34,5.45
2012-06-30,80.57,$11.68,6.9
2012-03-31,71.69,$10.01,7.16
2011-12-31,64.81,$-1.48,0.0
2011-09-30,60.84,$3.27,18.61
2011-06-30,62.29,$5.22,11.93
2011-03-31,66.83,$5.51,12.13
2010-12-31,63.93,$10.94,5.84
2010-09-30,64.8,$8.71,7.44
2010-06-30,52.68,$9.35,5.63
2010-03-31,59.89,$11.08,5.41
2009-12-31,63.04,$13.23,4.77
