Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data,Franklin Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,23.33,,13.33
2024-03-31,28.11,$1.75,16.06
2023-12-31,29.15,$1.90,15.34
2023-09-30,24.05,$1.72,13.98
2023-06-30,25.82,$1.60,16.14
2023-03-31,25.75,$1.66,15.51
2022-12-31,24.93,$1.96,12.72
2022-09-30,20.12,$2.52,7.98
2022-06-30,21.51,$3.36,6.4
2022-03-31,25.44,$3.72,6.84
2021-12-31,30.21,$3.78,7.99
2021-09-30,26.58,$3.57,7.45
2021-06-30,28.35,$2.42,11.71
2021-03-31,26.0,$2.15,12.09
2020-12-31,21.75,$1.57,13.85
2020-09-30,17.51,$1.60,10.94
2020-06-30,17.58,$2.06,8.53
2020-03-31,13.99,$1.95,7.17
2019-12-31,21.45,$2.51,8.55
2019-09-30,23.58,$2.77,8.51
2019-06-30,28.18,$2.91,9.68
2019-03-31,26.63,$3.21,8.3
2018-09-30,24.03,$1.43,16.81
2018-06-30,25.14,$1.23,20.44
2018-03-31,27.01,$1.02,26.48
2017-12-31,30.83,$0.97,31.78
2017-09-30,31.5,$2.77,11.37
2018-12-31,23.65,$2.78,8.51
2017-06-30,31.56,$3.06,10.31
2017-03-31,29.56,$3.10,9.54
2016-12-31,27.63,$2.97,9.3
2016-09-30,24.71,$2.94,8.4
2016-06-30,23.06,$2.71,8.51
2016-03-31,26.83,$2.76,9.72
2015-12-31,25.18,$3.13,8.05
2015-09-30,25.36,$3.30,7.68
2015-06-30,33.23,$3.73,8.91
2015-03-31,34.68,$3.83,9.06
2014-12-31,37.31,$3.74,9.98
2014-09-30,36.38,$3.79,9.6
2014-06-30,38.45,$3.57,10.77
2014-03-31,35.94,$3.51,10.24
2013-12-31,38.21,$3.52,10.86
2013-09-30,33.39,$3.36,9.93
2013-06-30,29.89,$3.33,8.97
2013-03-31,33.07,$3.18,10.4
2012-12-31,27.51,$3.06,9.0
2012-09-30,26.69,$2.98,8.94
2012-06-30,23.63,$2.84,8.32
2012-03-31,26.34,$2.89,9.12
2011-12-31,20.35,$2.86,7.11
2011-09-30,19.78,$2.87,6.88
2011-06-30,27.09,$2.80,9.69
2011-03-31,25.75,$2.57,10.02
2010-12-31,22.85,$2.34,9.78
2010-09-30,21.92,$2.11,10.4
2010-06-30,17.63,$2.09,8.44
2010-03-31,22.63,$1.99,11.36
2009-12-31,21.46,$1.64,13.11
