Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data,Cardinal Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,96.39,,42.84
2024-03-31,111.9,$2.25,49.73
2023-12-31,100.35,$2.54,39.51
2023-09-30,85.51,$0.61,140.18
2023-06-30,93.14,$1.09,85.45
2023-03-31,73.97,$6.39,11.58
2022-12-31,74.82,$5.22,14.33
2022-06-30,50.18,$6.66,7.53
2022-03-31,53.92,$6.56,8.22
2021-12-31,48.54,$1.91,25.42
2021-09-30,46.19,$2.14,21.58
2021-06-30,52.79,$3.33,15.85
2022-09-30,64.49,$2.07,31.15
2021-03-31,55.7,$3.90,14.28
2020-12-31,48.72,$4.69,10.39
2020-09-30,42.32,$3.31,12.79
2020-06-30,46.56,$-12.48,0.0
2020-03-31,42.37,$-14.06,0.0
2019-12-31,44.26,$-14.26,0.0
2019-09-30,40.91,$-14.08,0.0
2019-06-30,40.42,$4.51,8.96
2019-03-31,40.9,$0.10,409.02
2018-12-31,37.51,$-0.08,0.0
2018-09-30,45.42,$2.32,19.58
2018-06-30,40.71,$0.74,55.02
2018-03-31,51.76,$5.36,9.66
2017-12-31,50.22,$5.75,8.73
2017-09-30,54.44,$3.44,15.83
2017-06-30,62.96,$4.04,15.58
2017-03-31,65.5,$4.20,15.6
2016-12-31,57.49,$4.17,13.79
2016-09-30,61.69,$4.13,14.94
2016-06-30,61.57,$4.32,14.25
2016-03-31,64.31,$4.18,15.38
2015-12-31,69.72,$4.10,17.01
2015-09-30,59.74,$3.98,15.01
2015-06-30,64.73,$3.61,17.93
2015-03-31,69.53,$3.41,20.39
2014-12-31,61.95,$3.12,19.86
2014-09-30,57.25,$3.25,17.62
2014-06-30,52.15,$0.75,69.54
2013-12-31,50.35,$1.07,47.06
2013-09-30,39.13,$1.15,34.02
2013-06-30,35.21,$0.95,37.06
2013-03-31,30.85,$3.58,8.62
2012-12-31,30.33,$3.26,9.3
2012-09-30,28.32,$3.33,8.5
2014-03-31,52.97,$3.29,16.1
2012-06-30,30.34,$3.06,9.91
2012-03-31,30.96,$2.95,10.49
2011-12-31,29.02,$2.70,10.75
2011-09-30,29.76,$2.56,11.63
2011-06-30,32.12,$2.72,11.81
2011-03-31,28.95,$2.77,10.45
2010-12-31,26.84,$2.68,10.01
2010-09-30,23.03,$2.72,8.47
2010-06-30,23.29,$2.63,8.86
2010-03-31,24.82,$2.88,8.62
2009-12-31,22.11,$2.16,10.23
