Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data,Thermo Fisher Scientific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,584.05,,37.46
2024-03-31,581.21,$15.59,37.28
2023-12-31,530.44,$15.45,34.33
2023-09-30,505.49,$15.26,33.13
2023-06-30,520.7,$14.63,35.59
2023-03-31,574.82,$15.34,37.47
2022-12-31,548.87,$17.63,31.13
2022-09-30,505.24,$17.79,28.4
2022-06-30,540.9,$18.79,28.79
2022-03-31,587.72,$19.18,30.64
2021-12-31,663.57,$19.45,34.12
2021-09-30,567.95,$21.52,26.39
2021-06-30,501.26,$21.57,23.24
2021-03-31,453.22,$19.86,22.82
2020-12-31,462.29,$15.95,28.98
2020-09-30,438.01,$12.20,35.9
2020-06-30,359.27,$9.24,38.88
2020-03-31,281.02,$9.12,30.81
2019-12-31,321.68,$9.17,35.08
2019-09-30,288.24,$8.90,32.39
2019-06-30,290.43,$8.77,33.12
2019-03-31,270.52,$7.84,34.5
2018-12-31,221.01,$7.25,30.48
2018-09-30,240.87,$6.33,38.05
2018-06-30,204.27,$5.92,34.51
2018-03-31,203.44,$5.63,36.14
2017-12-31,186.96,$5.60,33.39
2017-09-30,186.14,$5.89,31.6
2017-06-30,171.51,$5.74,29.88
2017-03-31,150.87,$5.48,27.53
2016-12-31,138.46,$5.09,27.2
2016-09-30,155.92,$5.00,31.18
2016-06-30,144.7,$4.99,29.0
2016-03-31,138.52,$4.96,27.93
2015-12-31,138.62,$4.91,28.23
2015-09-30,119.36,$4.90,24.36
2015-06-30,126.51,$4.89,25.87
2015-03-31,130.83,$4.31,30.35
2014-12-31,121.87,$4.71,25.88
2014-09-30,118.24,$4.14,28.56
2014-06-30,114.51,$3.83,29.9
2014-03-31,116.53,$3.90,29.88
2013-12-31,107.79,$3.47,31.06
2013-09-30,89.07,$3.59,24.81
2013-06-30,81.66,$3.52,23.2
2013-03-31,73.68,$3.39,21.73
2012-12-31,61.32,$3.21,19.1
2012-09-30,56.43,$2.94,19.19
2012-06-30,49.68,$2.84,17.49
2012-03-31,53.82,$3.57,15.08
2011-12-31,42.83,$3.46,12.38
2011-09-30,48.23,$3.44,14.02
2011-06-30,61.33,$3.41,17.98
2011-03-31,52.91,$2.62,20.19
2010-12-31,52.73,$2.54,20.76
2010-09-30,45.6,$2.44,18.69
2010-06-30,46.72,$2.31,20.22
2010-03-31,48.99,$2.23,21.97
2009-12-31,45.42,$2.02,22.49
