AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data,AT&T PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,17.5,,9.41
2024-03-31,17.32,$1.86,9.31
2023-12-31,16.24,$1.96,8.29
2023-09-30,14.27,$-1.54,0.0
2023-06-30,14.88,$-1.22,0.0
2023-03-31,17.71,$-1.27,0.0
2022-12-31,16.7,$-1.19,0.0
2022-09-30,13.67,$2.70,5.06
2022-06-30,18.43,$2.72,6.77
2022-03-31,15.6,$2.37,6.58
2021-12-31,15.93,$-0.23,0.0
2021-09-30,17.16,$-0.53,0.0
2021-06-30,17.95,$-1.18,0.0
2020-12-31,17.32,$-0.76,0.0
2020-09-30,16.86,$1.52,11.09
2020-06-30,17.57,$2.17,8.1
2020-03-31,16.65,$2.50,6.66
2019-12-31,22.03,$2.38,9.26
2021-03-31,18.56,$2.61,7.11
2019-09-30,21.04,$2.23,9.44
2019-06-30,18.36,$2.38,7.71
2019-03-31,16.91,$2.68,6.31
2018-12-31,15.13,$2.87,5.27
2018-09-30,17.54,$5.29,3.32
2018-06-30,16.52,$5.13,3.22
2018-03-31,18.08,$4.95,3.65
2017-12-31,19.46,$4.76,4.09
2017-09-30,19.36,$2.07,9.35
2017-06-30,18.4,$2.12,8.68
2017-03-31,20.02,$2.04,9.82
2016-12-31,20.26,$2.09,9.69
2016-09-30,19.11,$2.35,8.13
2016-06-30,20.11,$2.31,8.7
2016-03-31,18.0,$2.34,7.69
2015-12-31,15.6,$2.34,6.67
2015-09-30,14.56,$0.92,15.83
2015-06-30,15.66,$1.00,15.66
2015-03-31,14.19,$1.10,12.9
2014-12-31,14.4,$1.80,8.0
2014-09-30,14.91,$3.29,4.53
2014-06-30,14.77,$3.42,4.32
2013-12-31,14.3,$3.41,4.19
2013-09-30,13.57,$1.42,9.56
2013-06-30,14.03,$1.40,10.02
2013-03-31,14.37,$1.32,10.89
2012-12-31,13.03,$1.31,9.95
2014-03-31,14.46,$2.59,5.58
2012-09-30,14.41,$0.77,18.71
2012-06-30,13.46,$0.75,17.95
2012-03-31,11.62,$0.69,16.85
2011-12-31,11.09,$0.66,16.8
2011-09-30,10.3,$1.96,5.26
2011-06-30,11.19,$3.43,3.26
2011-03-31,10.76,$3.51,3.06
2010-12-31,10.17,$3.45,2.95
2010-09-30,9.76,$3.81,2.56
2010-06-30,8.12,$2.27,3.58
2009-12-31,9.11,$2.12,4.3
2009-09-30,8.65,$2.03,4.26
