Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data,Bristol Myers Squibb PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,41.24,,0.0
2024-03-31,53.6,$-3.10,0.0
2023-12-31,50.14,$3.86,12.99
2023-09-30,56.15,$3.94,14.25
2023-06-30,60.77,$3.76,16.16
2023-03-31,65.34,$3.43,19.05
2022-12-31,67.3,$2.95,22.81
2022-09-30,65.99,$3.07,21.49
2022-06-30,71.47,$3.01,23.74
2022-03-31,67.31,$2.82,23.87
2021-12-31,56.55,$3.12,18.13
2021-09-30,53.67,$-2.40,0.0
2021-06-30,59.67,$-2.27,0.0
2021-03-31,56.37,$-2.78,0.0
2020-12-31,54.96,$-4.01,0.0
2020-09-30,52.61,$-0.11,0.0
2020-06-30,50.92,$-0.10,0.0
2020-03-31,47.88,$0.81,59.11
2019-12-31,54.75,$2.19,25.0
2019-09-30,42.9,$3.47,12.36
2019-06-30,38.03,$3.80,10.01
2019-03-31,39.66,$3.16,12.55
2018-12-31,42.82,$3.03,14.13
2018-09-30,50.81,$0.88,57.74
2018-06-30,44.98,$0.23,195.54
2018-03-31,51.08,$0.56,91.21
2017-12-31,49.17,$0.59,83.33
2017-09-30,50.83,$2.54,20.01
2017-06-30,44.13,$2.75,16.05
2017-03-31,42.75,$2.88,14.84
2016-12-31,45.64,$2.65,17.22
2016-09-30,41.82,$2.04,20.5
2016-06-30,57.05,$1.74,32.79
2016-03-31,49.29,$0.97,50.82
2015-12-31,52.77,$0.97,54.4
2015-09-30,45.16,$1.06,42.61
2015-06-30,50.17,$1.07,46.89
2015-03-31,48.35,$1.35,35.82
2014-12-31,44.25,$1.20,36.88
2014-09-30,37.86,$1.63,23.23
2014-06-30,35.62,$1.62,21.99
2014-03-31,37.88,$1.74,21.77
2013-12-31,38.76,$1.55,25.0
2013-09-30,33.27,$1.67,19.92
2013-06-30,31.87,$0.82,38.87
2013-03-31,29.13,$0.88,33.1
2012-12-31,22.8,$1.15,19.83
2012-09-30,23.38,$1.09,21.45
2012-06-30,24.66,$2.08,11.86
2012-03-31,22.92,$2.22,10.33
2011-12-31,23.7,$2.15,11.02
2011-09-30,20.89,$1.93,10.82
2011-06-30,19.28,$1.92,10.04
2011-03-31,17.4,$1.93,9.01
2010-12-31,17.0,$1.79,9.5
2010-09-30,17.4,$5.57,3.12
2010-06-30,15.82,$5.50,2.88
2010-03-31,16.73,$5.46,3.06
2009-12-31,15.63,$5.35,2.92
