Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data,Arthur J Gallagher PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,252.06,,51.02
2024-03-31,250.04,$4.94,50.62
2023-12-31,224.33,$2.83,79.27
2023-09-30,226.87,$4.17,54.41
2023-06-30,218.03,$4.22,51.67
2022-12-31,186.16,$5.20,35.8
2022-09-30,168.63,$5.08,33.19
2022-06-30,160.12,$6.13,26.12
2022-03-31,170.95,$5.86,29.17
2021-12-31,165.59,$4.73,35.01
2023-03-31,189.45,$6.14,30.86
2021-09-30,144.65,$4.62,31.31
2021-06-30,135.87,$4.46,30.46
2021-03-31,120.62,$4.33,27.86
2020-12-31,119.12,$4.20,28.36
2020-09-30,101.27,$3.99,25.38
2020-06-30,93.11,$3.75,24.83
2020-03-31,77.49,$3.54,21.89
2019-12-31,90.14,$3.52,25.61
2019-09-30,84.39,$3.64,23.18
2019-06-30,82.13,$3.66,22.44
2019-03-31,72.87,$3.70,19.7
2018-12-31,68.4,$3.41,20.06
2018-09-30,68.71,$3.35,20.51
2018-06-30,59.92,$3.38,17.73
2018-03-31,62.7,$3.71,16.9
2017-12-31,57.39,$2.54,22.59
2017-09-30,55.49,$2.50,22.2
2017-06-30,51.27,$2.48,20.67
2017-03-31,50.29,$2.37,21.22
2016-12-31,45.9,$2.41,19.05
2016-09-30,44.6,$2.63,16.96
2016-06-30,41.42,$2.75,15.06
2015-12-31,35.01,$2.04,17.16
2015-09-30,35.0,$2.00,17.5
2015-06-30,39.76,$1.51,26.33
2015-03-31,39.0,$1.28,30.47
2014-12-31,38.97,$1.85,21.06
2016-03-31,38.4,$1.90,20.21
2014-09-30,37.27,$2.09,17.83
2014-06-30,37.99,$2.08,18.27
2014-03-31,38.49,$2.11,18.24
2013-12-31,37.67,$2.07,18.2
2013-09-30,34.78,$1.89,18.4
2013-06-30,34.52,$1.82,18.96
2013-03-31,32.38,$1.68,19.27
2012-12-31,26.91,$1.60,16.82
2012-09-30,27.56,$1.68,16.41
2012-06-30,26.73,$1.59,16.81
2012-03-31,26.97,$1.37,19.69
2011-12-31,25.0,$1.27,19.69
2011-09-30,19.47,$1.43,13.62
2011-06-30,20.87,$1.46,14.29
2011-03-31,21.97,$1.51,14.55
2010-12-31,20.79,$1.65,12.6
2010-09-30,18.65,$1.30,14.34
2010-06-30,17.03,$1.27,13.41
2010-03-31,16.94,$1.29,13.13
2009-12-31,15.33,$1.28,11.98
