Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data,Sysco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,72.95,,17.79
2024-03-31,80.65,$4.10,19.67
2023-12-31,72.18,$4.09,17.65
2023-09-30,64.68,$3.55,18.22
2023-06-30,72.17,$3.47,20.8
2023-03-31,74.65,$3.02,24.72
2022-12-31,73.42,$2.77,26.51
2022-09-30,67.46,$2.82,23.92
2022-06-30,80.82,$2.20,36.73
2022-03-31,77.45,$1.38,56.12
2021-12-31,73.65,$0.92,80.05
2021-06-30,72.02,$1.01,71.31
2021-03-31,72.94,$-0.50,0.0
2020-12-31,67.99,$0.06,1133.23
2020-09-30,56.56,$-0.08,0.0
2020-06-30,49.28,$0.24,205.32
2021-09-30,73.6,$2.33,31.59
2020-03-31,40.69,$2.63,15.47
2019-12-31,75.88,$3.49,21.74
2019-09-30,70.08,$3.26,21.5
2019-06-30,62.09,$3.20,19.4
2019-03-31,58.27,$3.02,19.29
2018-12-31,54.35,$2.80,19.41
2018-09-30,63.21,$2.83,22.34
2018-06-30,58.63,$2.71,21.63
2018-03-31,51.17,$2.43,21.06
2017-12-31,51.53,$2.24,23.0
2017-09-30,45.5,$2.20,20.68
2017-06-30,42.16,$2.09,20.17
2017-03-31,43.22,$1.90,22.75
2016-12-31,45.81,$1.84,24.9
2016-09-30,40.29,$1.82,22.14
2016-06-30,41.71,$1.65,25.28
2016-03-31,38.18,$1.39,27.47
2015-12-31,33.02,$1.31,25.21
2015-09-30,31.39,$1.10,28.53
2015-06-30,28.85,$1.16,24.87
2015-03-31,29.91,$1.47,20.35
2014-12-31,31.21,$1.48,21.09
2014-09-30,29.39,$1.57,18.72
2014-06-30,28.78,$1.58,18.22
2014-03-31,27.54,$1.62,17.0
2013-12-31,27.52,$1.65,16.68
2013-09-30,23.86,$1.67,14.29
2013-06-30,25.4,$1.68,15.12
2013-03-31,25.94,$1.74,14.91
2012-12-31,23.15,$1.84,12.58
2012-09-30,22.67,$1.89,11.99
2012-06-30,21.41,$1.91,11.21
2012-03-31,21.26,$1.95,10.9
2011-12-31,20.69,$1.95,10.61
2011-09-30,18.08,$1.96,9.23
2011-06-30,21.77,$1.96,11.11
2011-03-31,19.18,$1.96,9.79
2010-12-31,19.99,$1.94,10.31
2010-09-30,19.39,$2.05,9.46
2010-06-30,19.26,$2.07,9.3
2010-03-31,19.72,$1.88,10.49
2009-09-30,16.17,$1.91,8.46
