Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data,Garmin PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,163.81,,23.1
2024-03-31,148.87,$7.09,21.0
2023-12-31,127.91,$6.71,19.06
2023-09-30,104.08,$5.42,19.2
2023-06-30,102.47,$5.17,19.82
2023-03-31,98.48,$5.00,19.7
2022-12-31,89.39,$5.04,17.74
2022-09-30,77.2,$4.99,15.47
2022-06-30,93.67,$5.24,17.88
2022-03-31,112.2,$5.55,20.22
2021-12-31,128.02,$5.60,22.86
2021-09-30,145.43,$5.85,24.86
2021-06-30,134.78,$6.14,21.95
2021-03-31,122.28,$5.46,22.4
2020-12-31,110.45,$5.16,21.41
2020-09-30,87.11,$5.32,16.37
2020-06-30,88.99,$4.88,18.23
2020-03-31,67.96,$5.09,13.35
2019-12-31,87.8,$4.99,17.6
2019-09-30,75.78,$4.10,18.48
2019-06-30,70.93,$3.88,18.28
2019-03-31,76.21,$3.71,20.54
2018-12-31,55.53,$3.65,15.21
2018-09-30,60.94,$3.38,18.03
2018-06-30,52.66,$3.19,16.51
2018-03-31,50.44,$3.10,16.27
2017-12-31,50.56,$3.68,13.74
2017-09-30,45.41,$3.67,12.37
2017-06-30,42.53,$3.55,11.98
2017-03-31,42.18,$3.49,12.09
2016-12-31,39.63,$2.69,14.73
2016-09-30,38.92,$2.67,14.58
2016-06-30,33.95,$2.64,12.86
2016-03-31,31.59,$2.51,12.59
2015-12-31,29.01,$2.40,12.09
2015-09-30,27.61,$2.79,9.89
2015-06-30,33.33,$1.40,23.8
2015-03-31,35.64,$1.61,22.14
2014-12-31,39.24,$1.87,20.98
2014-09-30,38.27,$1.61,23.77
2014-06-30,44.43,$3.33,13.34
2014-03-31,39.99,$3.28,12.19
2013-12-31,33.14,$3.12,10.62
2013-09-30,32.12,$2.95,10.89
2013-06-30,25.44,$2.71,9.39
2013-03-31,22.94,$2.78,8.25
2012-12-31,27.92,$2.77,10.08
2012-09-30,28.29,$2.96,9.56
2012-06-30,25.67,$3.01,8.53
2012-03-31,31.13,$2.62,11.88
2011-12-31,26.16,$2.67,9.8
2011-09-30,20.66,$2.50,8.26
2011-06-30,21.22,$3.16,6.71
2011-03-31,21.23,$3.27,6.49
2010-12-31,19.43,$2.97,6.54
2010-09-30,19.03,$3.67,5.19
2010-06-30,18.3,$3.31,5.53
2010-03-31,23.26,$3.45,6.74
2009-12-31,18.49,$3.50,5.28
