Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,177.8,,8.88
2024-03-31,200.54,$20.02,10.02
2023-12-31,146.92,$23.53,6.24
2023-09-30,149.05,$26.78,5.57
2023-06-30,114.23,$27.56,4.14
2023-03-31,131.17,$33.19,3.95
2022-12-31,112.57,$28.59,3.94
2022-09-30,95.47,$22.77,4.19
2022-06-30,78.55,$14.80,5.31
2022-03-31,81.21,$16.85,4.82
2021-12-31,60.33,$14.99,4.02
2021-09-30,57.76,$14.01,4.12
2021-06-30,55.89,$11.35,4.92
2021-03-31,49.01,$-1.64,0.0
2020-12-31,37.47,$-15.52,0.0
2020-09-30,26.21,$-15.13,0.0
2020-06-30,32.88,$-11.90,0.0
2020-03-31,20.43,$-10.25,0.0
2019-12-31,51.59,$3.99,12.93
2019-09-30,51.57,$4.66,11.07
2019-06-30,46.91,$4.62,10.15
2019-03-31,49.73,$5.23,9.51
2018-12-31,48.63,$5.32,9.14
2018-09-30,65.42,$8.06,8.12
2018-06-30,57.05,$8.21,6.95
2018-03-31,59.1,$6.94,8.52
2017-12-31,52.97,$6.92,7.65
2017-09-30,44.73,$3.26,13.72
2017-06-30,41.42,$1.76,23.54
2017-03-31,39.74,$2.27,17.5
2016-12-31,39.31,$2.21,17.79
2016-09-30,31.43,$2.13,14.76
2016-06-30,29.14,$3.62,8.05
2016-03-31,28.29,$3.62,7.81
2015-12-31,39.05,$5.24,7.45
2015-09-30,34.69,$6.32,5.49
2015-06-30,38.94,$5.74,6.78
2015-03-31,37.93,$5.71,6.65
2014-12-31,33.28,$4.42,7.53
2014-09-30,31.05,$4.03,7.71
2014-06-30,28.47,$3.12,9.14
2014-03-31,31.59,$2.56,12.36
2013-12-31,33.14,$3.31,10.03
2013-09-30,23.11,$3.39,6.82
2013-06-30,25.22,$4.92,5.13
2013-03-31,31.66,$5.19,6.1
2012-12-31,22.17,$4.96,4.47
2012-09-30,19.09,$4.96,3.85
2012-06-30,15.6,$3.06,5.11
2012-03-31,14.95,$3.45,4.34
