Ulta Beauty PE Ratio Historical Data,Ulta Beauty PE Ratio Historical Data,Ulta Beauty PE Ratio Historical Data,Ulta Beauty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,381.78,,14.66
2024-01-31,502.05,$26.05,19.27
2023-10-31,381.31,$24.65,15.47
2023-07-31,444.8,$24.92,17.85
2023-04-30,551.43,$24.60,22.42
2023-01-31,513.96,$24.02,21.4
2022-10-31,419.37,$22.75,18.43
2022-07-31,388.91,$21.35,18.22
2022-04-30,396.8,$20.21,19.63
2022-01-31,363.74,$18.01,20.2
2021-10-31,367.36,$15.63,23.5
2021-07-31,335.8,$13.01,25.81
2021-04-30,329.35,$8.59,38.34
2021-01-31,279.76,$3.10,90.25
2020-10-31,206.77,$3.96,52.21
2020-07-31,192.99,$4.89,39.47
2020-04-30,217.92,$7.51,29.02
2020-01-31,267.91,$12.16,22.03
2019-10-31,233.15,$11.88,19.63
2019-07-31,349.25,$11.81,29.57
2019-04-30,348.98,$11.51,30.32
2019-01-31,291.92,$10.95,26.66
2018-10-31,274.52,$10.74,25.56
2018-07-31,244.39,$10.26,23.82
2018-04-30,250.91,$9.63,26.06
2018-01-31,222.1,$8.98,24.73
2017-10-31,201.79,$7.82,25.8
2017-07-31,251.21,$7.52,33.41
2017-04-30,281.44,$7.12,39.53
2017-01-31,272.28,$6.52,41.76
2016-10-31,243.34,$5.97,40.76
2016-07-31,261.21,$5.68,45.99
2016-04-30,208.28,$5.40,38.57
2016-01-31,181.17,$4.99,36.31
2015-10-31,173.96,$4.65,37.41
2015-07-31,166.03,$4.45,37.31
2015-04-30,151.09,$4.24,35.63
2015-01-31,131.94,$3.97,33.23
2014-10-31,120.81,$3.71,32.56
2014-07-31,92.33,$3.50,26.38
2014-04-30,87.71,$3.26,26.9
2014-01-31,85.71,$3.14,27.3
2013-10-31,128.85,$3.05,42.25
2013-07-31,100.9,$2.94,34.32
2013-04-30,87.65,$2.78,31.53
2013-01-31,97.82,$2.67,36.64
2012-10-31,92.19,$2.40,38.41
2012-07-31,84.88,$2.23,38.06
2012-04-30,88.18,$2.07,42.6
2012-01-31,75.3,$1.90,39.63
2011-10-31,66.54,$1.66,40.08
2011-07-31,62.33,$1.47,42.4
2011-04-30,52.6,$1.31,40.15
2011-01-31,36.63,$1.17,31.3
2010-10-31,30.35,$1.02,29.75
2010-07-31,24.98,$0.93,26.86
2010-04-30,22.86,$0.81,28.22
2010-01-31,19.18,$0.66,29.07
2009-10-31,14.97,$0.53,28.25
