D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data,D.R Horton PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,144.62,,9.84
2024-03-31,164.2,$14.69,11.18
2023-12-31,151.35,$13.90,10.89
2023-09-30,106.77,$13.84,7.71
2023-06-30,120.66,$14.06,8.58
2023-03-31,96.64,$14.83,6.52
2022-12-31,87.96,$16.13,5.45
2022-09-30,66.27,$16.54,4.01
2022-06-30,64.93,$15.57,4.17
2022-03-31,72.86,$13.96,5.22
2021-12-31,105.76,$12.46,8.49
2021-09-30,81.71,$11.43,7.15
2021-06-30,87.75,$9.97,8.8
2021-03-31,86.37,$8.63,10.01
2020-12-31,66.63,$7.40,9.0
2020-09-30,72.91,$6.42,11.36
2020-06-30,53.32,$5.53,9.64
2020-03-31,32.58,$5.07,6.43
2019-12-31,50.4,$4.70,10.72
2019-09-30,50.2,$4.30,11.68
2019-06-30,40.95,$4.17,9.82
2019-03-31,39.15,$4.09,9.57
2018-12-31,32.67,$4.07,8.03
2018-09-30,39.59,$3.80,10.42
2018-06-30,38.37,$3.40,11.29
2018-03-31,40.91,$2.98,13.73
2017-12-31,47.53,$2.67,17.8
2017-09-30,37.07,$2.73,13.58
2017-06-30,32.0,$2.66,12.03
2017-03-31,30.74,$2.56,12.01
2016-12-31,25.14,$2.48,10.14
2016-09-30,27.68,$2.35,11.78
2016-06-30,28.78,$2.24,12.85
2016-03-31,27.57,$2.18,12.64
2015-12-31,29.12,$2.06,14.13
2015-09-30,26.62,$2.03,13.12
2015-06-30,24.76,$1.84,13.45
2015-03-31,25.71,$1.56,16.48
2014-12-31,22.77,$1.54,14.79
2014-09-30,18.43,$1.55,11.89
2014-06-30,22.01,$1.52,14.48
2014-03-31,19.36,$1.52,12.73
2013-09-30,17.34,$1.34,12.94
2013-06-30,18.99,$1.24,15.32
2013-03-31,21.69,$1.18,18.38
2012-12-31,17.65,$3.08,5.73
2012-09-30,18.23,$3.01,6.06
2013-12-31,19.92,$2.80,7.11
2012-06-30,16.21,$2.55,6.36
2012-03-31,13.35,$0.42,31.79
2011-12-31,11.07,$0.38,29.13
2011-09-30,7.91,$0.23,34.39
2011-06-30,10.04,$0.09,111.54
2011-03-31,10.12,$0.16,63.25
2010-12-31,10.33,$0.11,93.93
2010-09-30,9.6,$0.71,13.52
2010-06-30,8.45,$0.01,845.18
2010-03-31,10.8,$-0.60,0.0
2009-12-31,9.29,$-0.98,0.0
