Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data,Union Pacific PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,232.05,,22.14
2024-03-31,245.93,$10.48,23.47
2023-12-31,244.37,$10.46,23.36
2023-09-30,201.46,$10.42,19.33
2023-06-30,201.27,$10.84,18.57
2023-03-31,196.65,$10.84,18.14
2022-12-31,201.09,$10.83,18.57
2022-06-30,204.67,$10.73,19.07
2022-03-31,260.65,$10.52,24.78
2021-12-31,239.21,$9.95,24.04
2021-09-30,185.21,$9.34,19.83
2021-06-30,206.8,$8.78,23.55
2021-03-31,206.27,$7.73,26.68
2020-12-31,193.96,$7.88,24.61
2020-09-30,182.52,$7.85,23.25
2020-06-30,155.98,$8.06,19.35
2020-03-31,129.38,$8.61,15.03
2019-12-31,164.84,$8.39,19.65
2019-09-30,146.89,$8.49,17.3
2019-06-30,152.44,$8.42,18.1
2019-03-31,149.94,$8.18,18.33
2018-12-31,123.32,$9.30,13.26
2018-09-30,145.26,$16.43,8.84
2018-06-30,125.72,$15.78,7.97
2022-09-30,188.03,$15.25,12.33
2017-12-31,117.76,$13.52,8.71
2017-09-30,101.29,$5.66,17.9
2017-06-30,94.58,$5.84,16.2
2017-03-31,91.48,$5.75,15.91
2016-12-31,89.05,$5.60,15.9
2018-03-31,118.7,$5.37,22.1
2016-09-30,83.27,$5.00,16.65
2016-06-30,74.07,$5.14,14.41
2016-03-31,67.08,$5.27,12.73
2015-12-31,65.49,$5.72,11.45
2015-09-30,73.56,$5.94,12.38
2015-03-31,89.07,$5.87,15.17
2014-12-31,97.53,$5.76,16.93
2014-09-30,88.38,$5.43,16.29
2014-06-30,80.93,$5.28,15.34
2014-03-31,75.79,$5.09,14.9
2013-12-31,67.5,$5.08,13.29
2015-06-30,78.85,$4.82,16.36
2013-09-30,62.11,$4.54,13.7
2013-06-30,61.37,$4.39,13.98
2013-03-31,56.4,$4.26,13.26
2012-12-31,49.54,$4.14,11.98
2012-09-30,46.51,$4.04,11.53
2012-06-30,46.52,$3.87,12.04
2012-03-31,41.69,$3.61,11.55
2011-12-31,40.87,$3.36,12.16
2011-09-30,31.32,$3.15,9.96
2011-06-30,39.82,$3.00,13.27
2011-03-31,37.34,$2.91,12.85
2010-12-31,35.04,$2.77,12.67
2010-09-30,30.81,$2.53,12.2
2010-06-30,26.06,$2.26,11.56
2010-03-31,27.35,$1.92,14.28
2009-12-31,23.75,$1.87,12.7
