Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data,Best Buy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,71.5,,12.57
2024-01-31,71.63,$5.69,12.59
2023-10-31,65.22,$5.80,11.24
2023-07-31,80.02,$5.81,13.77
2023-04-30,70.95,$5.91,12.01
2023-01-31,83.46,$6.29,13.27
2022-10-31,63.67,$6.68,9.53
2022-07-31,70.82,$7.46,9.49
2022-04-30,81.68,$9.01,9.07
2022-01-31,89.36,$9.84,9.08
2021-10-31,109.27,$10.32,10.59
2021-07-31,99.8,$9.80,10.18
2021-04-30,102.63,$8.55,12.0
2021-01-31,95.46,$6.84,13.96
2020-10-31,97.33,$6.58,14.79
2020-07-31,86.45,$6.20,13.94
2020-04-30,66.16,$5.44,12.16
2020-01-31,72.29,$5.81,12.44
2019-10-31,60.96,$5.66,10.77
2019-07-31,64.46,$5.55,11.62
2019-04-30,62.2,$5.52,11.27
2019-01-31,49.16,$5.26,9.35
2018-10-31,57.78,$3.80,15.21
2018-07-31,61.44,$3.48,17.65
2018-04-30,62.28,$3.22,19.34
2018-01-31,59.07,$4.41,13.39
2017-07-31,46.63,$3.79,12.3
2017-04-30,41.17,$3.73,11.04
2017-01-31,35.11,$3.83,9.17
2016-10-31,30.51,$3.32,9.19
2016-07-31,26.15,$3.07,8.52
2016-04-30,24.73,$2.92,8.47
2016-01-31,21.05,$2.58,8.16
2015-10-31,26.2,$2.64,9.92
2015-07-31,24.01,$3.06,7.84
2015-04-30,25.59,$2.90,8.82
2015-01-31,25.53,$2.96,8.62
2017-10-31,45.01,$2.81,16.02
2014-10-31,24.63,$2.86,8.61
2014-07-31,21.32,$2.72,7.84
2014-04-30,18.49,$3.07,6.02
2014-01-31,16.68,$1.52,10.97
2013-10-31,30.2,$-0.52,0.0
2013-07-31,21.13,$-0.71,0.0
2013-04-30,18.14,$-1.44,0.0
2013-01-31,11.26,$-0.74,0.0
2012-10-31,10.39,$0.47,22.1
2012-07-31,12.24,$-4.39,0.0
2012-04-30,14.82,$-4.43,0.0
2012-02-29,16.46,$-4.47,0.0
2012-01-31,15.96,$-4.47,0.0
2011-11-30,17.93,$0.89,20.15
2011-10-31,17.36,$0.89,19.51
2011-08-31,16.82,$0.81,20.77
2011-07-31,18.14,$0.81,22.4
2011-05-31,20.78,$0.34,61.11
2011-04-30,20.42,$0.34,60.07
2011-02-28,20.99,0,0.0
2010-11-30,27.69,0,0.0
2010-08-31,20.27,0,0.0
2010-05-31,27.17,0,0.0
2010-02-28,23.4,0,0.0
2009-11-30,27.36,0,0.0
