Williams PE Ratio Historical Data,Williams PE Ratio Historical Data,Williams PE Ratio Historical Data,Williams PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,40.13,,16.86
2024-03-31,38.97,$2.38,16.37
2023-12-31,34.38,$2.62,13.12
2023-09-30,32.83,$2.23,14.72
2023-06-30,31.38,$2.18,14.4
2023-03-31,28.3,$2.13,13.29
2022-12-31,30.71,$1.68,18.28
2022-09-30,26.38,$1.64,16.09
2022-06-30,28.38,$1.28,22.17
2022-03-31,30.02,$1.20,25.02
2021-12-31,23.1,$1.24,18.63
2021-09-30,22.66,$0.82,27.63
2021-06-30,22.81,$0.94,24.26
2021-03-31,20.05,$0.94,21.33
2020-12-31,16.69,$0.16,104.28
2020-09-30,16.06,$0.18,89.22
2020-06-30,15.24,$0.11,138.57
2020-03-31,11.1,$0.12,92.47
2019-12-31,18.06,$0.71,25.43
2019-09-30,18.01,$0.13,138.57
2019-06-30,20.67,$0.08,258.38
2019-03-31,20.88,$-0.02,0.0
2018-12-31,15.81,0,0.0
2018-09-30,19.22,$2.50,7.69
2018-06-30,18.94,$2.41,7.86
2018-03-31,17.15,$2.35,7.3
2017-12-31,20.77,$2.62,7.93
2017-09-30,20.23,$0.57,35.49
2017-06-30,20.21,$0.61,33.13
2017-03-31,19.54,$-0.03,0.0
2016-12-31,20.35,$-0.57,0.0
2016-09-30,19.96,$-1.49,0.0
2016-06-30,13.96,$-1.62,0.0
2016-03-31,10.08,$-0.93,0.0
2015-12-31,15.49,$-0.75,0.0
2015-09-30,21.73,$0.45,48.3
2015-06-30,33.37,$2.72,12.27
2015-03-31,29.05,$2.72,10.68
2014-12-31,25.49,$2.83,9.01
2014-09-30,31.0,$2.55,12.16
2014-06-30,32.28,$0.53,60.91
2014-03-31,22.3,$0.59,37.8
2013-12-31,20.99,$0.62,33.86
2013-09-30,19.57,$0.87,22.5
2013-06-30,17.3,$0.92,18.81
2013-03-31,19.76,$0.92,21.48
2012-12-31,17.1,$1.39,12.3
2012-09-30,18.08,$0.42,43.04
2012-06-30,14.76,$0.63,23.42
2012-03-31,15.62,$0.80,19.52
2011-12-31,13.58,$0.64,21.21
2011-09-30,9.93,$1.67,5.95
2011-06-30,12.25,$-0.95,0.0
2011-03-31,12.54,$-1.02,0.0
2010-12-31,9.9,$-1.89,0.0
2010-09-30,7.61,$-1.89,0.0
2010-06-30,7.23,$0.51,14.18
2010-03-31,9.08,$0.44,20.63
2009-12-31,8.25,$0.48,17.18
