Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data,Marathon Oil PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-05-24,25.56,,10.56
2024-03-31,28.22,$2.42,11.66
2023-12-31,23.95,$2.56,9.35
2023-09-30,26.4,$2.70,9.78
2023-06-30,22.63,$3.17,7.14
2023-03-31,23.45,$4.07,5.76
2022-12-31,26.4,$5.19,5.09
2022-09-30,21.96,$5.21,4.21
2022-06-30,21.78,$4.22,5.16
2022-03-31,24.26,$2.87,8.45
2021-12-31,15.81,$1.21,13.07
2021-09-30,13.12,$-0.06,0.0
2021-06-30,13.01,$-0.69,0.0
2021-03-31,10.17,$-1.66,0.0
2020-12-31,6.33,$-1.84,0.0
2020-09-30,3.86,$-1.44,0.0
2020-06-30,5.78,$-0.83,0.0
2020-03-31,3.11,$0.32,9.71
2019-12-31,12.76,$0.59,21.63
2019-09-30,11.48,$1.09,10.53
2019-06-30,13.24,$1.18,11.22
2019-03-31,15.52,$1.09,14.24
2018-12-31,13.28,$1.30,10.22
2018-09-30,21.49,$0.80,26.86
2018-06-30,19.21,$-0.20,0.0
2018-03-31,14.82,$-0.47,0.0
2017-12-31,15.51,$-6.73,0.0
2017-09-30,12.38,$-8.32,0.0
2017-06-30,10.77,$-7.85,0.0
2017-03-31,14.31,$-7.89,0.0
2016-12-31,15.63,$-2.61,0.0
2016-09-30,14.23,$-2.16,0.0
2016-06-30,13.46,$-3.04,0.0
2016-03-31,9.95,$-3.41,0.0
2015-12-31,11.17,$-3.26,0.0
2015-09-30,13.63,$-0.72,0.0
2015-06-30,23.21,$1.03,22.53
2015-03-31,22.66,$2.40,9.44
2014-12-31,24.38,$4.46,5.47
2014-09-30,32.18,$3.63,8.87
2014-06-30,33.99,$3.79,8.97
2014-03-31,30.09,$3.59,8.38
2013-12-31,29.73,$2.48,11.99
2013-09-30,29.22,$2.39,12.23
2013-06-30,28.8,$2.22,12.97
2013-03-31,27.95,$2.18,12.82
2012-12-31,25.29,$2.23,11.34
2012-09-30,24.26,$2.56,9.48
2012-06-30,20.85,$2.50,8.34
2012-03-31,25.68,$3.33,7.71
2011-12-31,23.59,$4.13,5.71
2011-09-30,17.3,$4.34,3.99
2011-06-30,25.79,$4.75,5.43
2011-03-31,25.97,$4.36,5.96
2010-12-31,17.95,$3.61,4.97
2010-09-30,15.92,$3.12,5.1
2010-06-30,14.84,$2.72,5.46
2010-03-31,14.99,$2.30,6.52
2009-12-31,14.67,$2.06,7.12
